"capital","r5","count","R5","total_count","region_spacing","color"
"Fisheries & Mariculture","REF",33,"REF",48,494.557823129252,"Fisheries & Mariculture"
"Ports","REF",15,"REF",48,494.557823129252,"Ports"
"Corals","OECD",24,"OECD",108,482.312925170068,"Corals"
"Fisheries & Mariculture","OECD",44,"OECD",108,482.312925170068,"Fisheries & Mariculture"
"Mangroves","OECD",18,"OECD",108,482.312925170068,"Mangroves"
"Ports","OECD",22,"OECD",108,482.312925170068,"Ports"
"Corals","MAF",57,"MAF",287,400,"Corals"
"Fisheries & Mariculture","MAF",82,"MAF",287,400,"Fisheries & Mariculture"
"Mangroves","MAF",105,"MAF",287,400,"Mangroves"
"Ports","MAF",43,"MAF",287,400,"Ports"
"Corals","LAM",60,"LAM",238,432.539682539683,"Corals"
"Fisheries & Mariculture","LAM",55,"LAM",238,432.539682539683,"Fisheries & Mariculture"
"Mangroves","LAM",96,"LAM",238,432.539682539683,"Mangroves"
"Ports","LAM",27,"LAM",238,432.539682539683,"Ports"
"Corals","ASIA",60,"ASIA",201,459.52380952381,"Corals"
"Fisheries & Mariculture","ASIA",43,"ASIA",201,459.52380952381,"Fisheries & Mariculture"
"Mangroves","ASIA",75,"ASIA",201,459.52380952381,"Mangroves"
"Ports","ASIA",23,"ASIA",201,459.52380952381,"Ports"
"t5","rr",1246.28571428571,"REF",48,494.557823129252,"transparent"
"t2","ro",1215.42857142857,"OECD",108,482.312925170068,"transparent"
"t3","ra",1158,"ASIA",201,459.52380952381,"transparent"
"t4","rl",1090,"LAM",238,432.539682539683,"transparent"
"t1","rm",1008,"MAF",287,400,"transparent"
