"countrycode","R5","capital","category","value_capped","GDP_2020usd","Pop2020","GDP_per_capita_thousand_2020USD"
"AUS","OECD","Corals","Market",2.05256453313779,1444006380031.66,25649248,56.2981955662661
"AUS","OECD","Corals","Non-market Use",3.85059361273908,1444006380031.66,25649248,56.2981955662661
"AUS","OECD","Corals","Non-use",5.93529183631954,1444006380031.66,25649248,56.2981955662661
"BGD","ASIA","Corals","Market",1,1166613553390.4,167420951,6.96814554225295
"BGD","ASIA","Corals","Non-market Use",1,1166613553390.4,167420951,6.96814554225295
"BGD","ASIA","Corals","Non-use",1,1166613553390.4,167420951,6.96814554225295
"BHR","MAF","Corals","Market",1,77522978113.816,1477469,52.4701216159635
"BHR","MAF","Corals","Non-market Use",1,77522978113.816,1477469,52.4701216159635
"BHR","MAF","Corals","Non-use",1,77522978113.816,1477469,52.4701216159635
"BHS","LAM","Corals","Market",6.36155973977616,10077516213.8323,406471,24.7927065247762
"BHS","LAM","Corals","Non-market Use",11.9342319842159,10077516213.8323,406471,24.7927065247762
"BHS","LAM","Corals","Non-use",18.3953843984781,10077516213.8323,406471,24.7927065247762
"BLZ","LAM","Corals","Market",1.18776422399818,3923484265.5722,394921,9.93485853011665
"BLZ","LAM","Corals","Non-market Use",2.22823558554608,3923484265.5722,394921,9.93485853011665
"BLZ","LAM","Corals","Non-use",3.43459471717159,3923484265.5722,394921,9.93485853011665
"BRA","LAM","Corals","Market",1,3615574021216.43,213196304,16.9588963475485
"BRA","LAM","Corals","Non-market Use",1,3615574021216.43,213196304,16.9588963475485
"BRA","LAM","Corals","Non-use",1,3615574021216.43,213196304,16.9588963475485
"BRB","LAM","Corals","Market",1,4198038554.94363,280693,14.9559787915752
"BRB","LAM","Corals","Non-market Use",1,4198038554.94363,280693,14.9559787915752
"BRB","LAM","Corals","Non-use",1,4198038554.94363,280693,14.9559787915752
"BRN","ASIA","Corals","Market",1,35917994917.4561,441725,81.3130226214412
"BRN","ASIA","Corals","Non-market Use",1,35917994917.4561,441725,81.3130226214412
"BRN","ASIA","Corals","Non-use",1,35917994917.4561,441725,81.3130226214412
"CHN","ASIA","Corals","Market",1,26576353594843,1411100000,18.8337847033116
"CHN","ASIA","Corals","Non-market Use",1,26576353594843,1411100000,18.8337847033116
"CHN","ASIA","Corals","Non-use",1,26576353594843,1411100000,18.8337847033116
"COL","LAM","Corals","Market",1,817711118547.378,50930662,16.0553797346553
"COL","LAM","Corals","Non-market Use",1,817711118547.378,50930662,16.0553797346553
"COL","LAM","Corals","Non-use",1,817711118547.378,50930662,16.0553797346553
"COM","MAF","Corals","Market",1,2757270870.13927,806166,3.42022718663311
"COM","MAF","Corals","Non-market Use",1,2757270870.13927,806166,3.42022718663311
"COM","MAF","Corals","Non-use",1.39571956295511,2757270870.13927,806166,3.42022718663311
"CRI","LAM","Corals","Market",1,113169448758.601,5123105,22.0900115766905
"CRI","LAM","Corals","Non-market Use",1,113169448758.601,5123105,22.0900115766905
"CRI","LAM","Corals","Non-use",1,113169448758.601,5123105,22.0900115766905
"CUB","LAM","Corals","Market",1,NA,11300698,NA
"CUB","LAM","Corals","Non-market Use",1,NA,11300698,NA
"CUB","LAM","Corals","Non-use",1,NA,11300698,NA
"DJI","MAF","Corals","Market",1,6380479642.79444,1090156,5.85281339807738
"DJI","MAF","Corals","Non-market Use",1.24931229208154,6380479642.79444,1090156,5.85281339807738
"DJI","MAF","Corals","Non-use",1.92568569782948,6380479642.79444,1090156,5.85281339807738
"DOM","LAM","Corals","Market",1,217098214927.192,10999664,19.7368042266738
"DOM","LAM","Corals","Non-market Use",1,217098214927.192,10999664,19.7368042266738
"DOM","LAM","Corals","Non-use",1,217098214927.192,10999664,19.7368042266738
"ECU","LAM","Corals","Market",1,218010165471.528,17588595,12.3949733035258
"ECU","LAM","Corals","Non-market Use",1,218010165471.528,17588595,12.3949733035258
"ECU","LAM","Corals","Non-use",1,218010165471.528,17588595,12.3949733035258
"EGY","MAF","Corals","Market",1,1673531030392.09,107465134,15.5727813114911
"EGY","MAF","Corals","Non-market Use",1,1673531030392.09,107465134,15.5727813114911
"EGY","MAF","Corals","Non-use",1,1673531030392.09,107465134,15.5727813114911
"ERI","MAF","Corals","Market",1,NA,3555868,NA
"ERI","MAF","Corals","Non-market Use",1,NA,3555868,NA
"ERI","MAF","Corals","Non-use",1,NA,3555868,NA
"FJI","ASIA","Corals","Market",4.02772592090006,10297880948.9337,920422,11.1882168711023
"FJI","ASIA","Corals","Non-market Use",7.55597958285496,10297880948.9337,920422,11.1882168711023
"FJI","ASIA","Corals","Non-use",11.6467611085073,10297880948.9337,920422,11.1882168711023
"FRA","OECD","Corals","Market",1,3427510236825.16,67571107,50.7244943733889
"FRA","OECD","Corals","Non-market Use",1,3427510236825.16,67571107,50.7244943733889
"FRA","OECD","Corals","Non-use",1,3427510236825.16,67571107,50.7244943733889
"GBR","OECD","Corals","Market",1,3259058619205.67,67081234,48.5837606864189
"GBR","OECD","Corals","Non-market Use",1,3259058619205.67,67081234,48.5837606864189
"GBR","OECD","Corals","Non-use",1,3259058619205.67,67081234,48.5837606864189
"GRD","LAM","Corals","Market",1,1705177563.59537,123663,13.7889066543378
"GRD","LAM","Corals","Non-market Use",1.06295833863208,1705177563.59537,123663,13.7889066543378
"GRD","LAM","Corals","Non-use",1.63844035079645,1705177563.59537,123663,13.7889066543378
"HND","LAM","Corals","Market",1,56703014340.7969,10121763,5.60208872118394
"HND","LAM","Corals","Non-market Use",1,56703014340.7969,10121763,5.60208872118394
"HND","LAM","Corals","Non-use",1,56703014340.7969,10121763,5.60208872118394
"HTI","LAM","Corals","Market",1,36311732131.5742,11306801,3.21149475714432
"HTI","LAM","Corals","Non-market Use",1,36311732131.5742,11306801,3.21149475714432
"HTI","LAM","Corals","Non-use",1,36311732131.5742,11306801,3.21149475714432
"IDN","ASIA","Corals","Market",1,3404556313997.13,271857970,12.523290429915
"IDN","ASIA","Corals","Non-market Use",1,3404556313997.13,271857970,12.523290429915
"IDN","ASIA","Corals","Non-use",1,3404556313997.13,271857970,12.523290429915
"IND","ASIA","Corals","Market",1,10378712667573.7,1396387127,7.43254679658308
"IND","ASIA","Corals","Non-market Use",1,10378712667573.7,1396387127,7.43254679658308
"IND","ASIA","Corals","Non-use",1,10378712667573.7,1396387127,7.43254679658308
"IRN","MAF","Corals","Market",1,1262967880610.57,87290193,14.4686113892608
"IRN","MAF","Corals","Non-market Use",1,1262967880610.57,87290193,14.4686113892608
"IRN","MAF","Corals","Non-use",1,1262967880610.57,87290193,14.4686113892608
"ISR","MAF","Corals","Market",1,397995851463.643,9215100,43.1895314715676
"ISR","MAF","Corals","Non-market Use",1,397995851463.643,9215100,43.1895314715676
"ISR","MAF","Corals","Non-use",1,397995851463.643,9215100,43.1895314715676
"JAM","LAM","Corals","Market",1,25981430581.2625,2820436,9.21184901244435
