year,country,YNET,pop,capital,variable,value,CPC
2030,aus,2.539893488378035,33.290315,Corals,Market,-239.6520952039123,58814.88203595549
2035,aus,2.75220907467629,33.85498,Corals,Market,-609.3934775716259,62617.940845988735
2040,aus,2.9613379209999398,34.32925299999999,Corals,Market,-1002.5824482816266,66391.66263704035
2045,aus,3.1638926693614557,34.697285,Corals,Market,-1424.3773733910075,70123.87481842496
2050,aus,3.3571881248185558,34.930598,Corals,Market,-1900.0741173805127,73851.40439979927
2055,aus,3.5403060741582193,35.02683,Corals,Market,-2294.280936379391,77602.95117981447
2060,aus,3.7135242961675776,35.013541,Corals,Market,-2787.6259931731984,81364.9523600343
2065,aus,3.876094331336857,34.921482,Corals,Market,-3130.7387427416393,85081.94390119465
2070,aus,4.037296979935233,34.83425589293856,Corals,Market,-3644.1541753204465,88770.40466684739
2075,aus,4.196366670532069,34.751827038144256,Corals,Market,-3964.879703732412,92411.88968896322
2080,aus,4.352518323081721,34.67416178062263,Corals,Market,-4441.719155669809,95987.44660203859
2085,aus,4.50495336869886,34.60122842813795,Corals,Market,-4775.624637707853,99477.7689354704
2090,aus,4.652866180594523,34.53299722964536,Corals,Market,-5217.432184572434,102863.36041729419
2095,aus,4.795450849712881,34.4694403550529,Corals,Market,-5610.195989276204,106124.70849261219
2100,aus,4.931908230417701,34.41053187629407,Corals,Market,-6011.595219464458,109242.46502984481
2030,bgd,5.431266203943127,198.396591,Corals,Market,-0.19432698278368715,19377.9804637818
2035,bgd,6.08302615019111,196.092233,Corals,Market,-0.5107429200445278,21980.76748357563
2040,bgd,6.733893590787288,193.032804,Corals,Market,-0.864499350544526,24743.445400347304
2045,bgd,7.356824065678982,189.393574,Corals,Market,-1.2559142461105632,27579.80600023973
2050,bgd,7.9402226954069155,185.262633,Corals,Market,-1.7040951462246121,30461.516001319338
2055,bgd,8.492422097392724,180.753927,Corals,Market,-2.086909665810262,33426.47900131908
2060,bgd,9.02377072078885,176.005054,Corals,Market,-2.5686360911060238,36513.15908297484
2065,bgd,9.541193178411053,171.297294,Corals,Market,-2.9222776156675105,39707.992565998
