country,iso_a3,continent,oc_capital,percentage_of_YGROSS,quantile_group
Zambia,ZMB,Africa,Corals,NA,NA
Zambia,ZMB,Africa,Fisheries & Mariculture,NA,NA
Zambia,ZMB,Africa,Mangroves,NA,NA
Zambia,ZMB,Africa,Ports,NA,NA
Yemen,YEM,Asia,Corals,2.54208576359643,Q4 (1.9 - 20.5)
Yemen,YEM,Asia,Fisheries & Mariculture,5.322611932147893,Q4 (1.9 - 20.5)
Yemen,YEM,Asia,Mangroves,0.01373344360788275,Q1 (0 - 0.08)
Yemen,YEM,Asia,Ports,NA,NA
Vietnam,VNM,Asia,Corals,0.3282994929614519,Q2 (0.08 - 0.35)
Vietnam,VNM,Asia,Fisheries & Mariculture,4.175954582300076,Q4 (1.9 - 20.5)
Vietnam,VNM,Asia,Mangroves,0.27040677070117014,Q2 (0.08 - 0.35)
Vietnam,VNM,Asia,Ports,0.16282200048276738,Q2 (0.08 - 0.35)
Uzbekistan,UZB,Asia,Corals,NA,NA
Uzbekistan,UZB,Asia,Fisheries & Mariculture,NA,NA
Uzbekistan,UZB,Asia,Mangroves,NA,NA
Uzbekistan,UZB,Asia,Ports,NA,NA
Uruguay,URY,South America,Corals,NA,NA
Uruguay,URY,South America,Fisheries & Mariculture,1.2324063251725244,Q3 (0.35 - 1.9)
Uruguay,URY,South America,Mangroves,NA,NA
Uruguay,URY,South America,Ports,0.28902291475130026,Q2 (0.08 - 0.35)
United States of America,USA,North America,Corals,3.622627018161959,Q4 (1.9 - 20.5)
United States of America,USA,North America,Fisheries & Mariculture,1.0814684145010003,Q3 (0.35 - 1.9)
United States of America,USA,North America,Mangroves,0.05715022491666261,Q1 (0 - 0.08)
United States of America,USA,North America,Ports,0.06132276520153641,Q1 (0 - 0.08)
United Kingdom,GBR,Europe,Corals,4.640140715235077,Q4 (1.9 - 20.5)
United Kingdom,GBR,Europe,Fisheries & Mariculture,1.2381884191617945,Q3 (0.35 - 1.9)
United Kingdom,GBR,Europe,Mangroves,NA,NA
United Kingdom,GBR,Europe,Ports,0.05238268932158119,Q1 (0 - 0.08)
United Arab Emirates,ARE,Asia,Corals,2.8450710735644194,Q4 (1.9 - 20.5)
United Arab Emirates,ARE,Asia,Fisheries & Mariculture,5.803362867656197e-4,Q1 (0 - 0.08)
United Arab Emirates,ARE,Asia,Mangroves,0.2557064201759116,Q2 (0.08 - 0.35)
United Arab Emirates,ARE,Asia,Ports,0.2096288441694572,Q2 (0.08 - 0.35)
Ukraine,UKR,Europe,Corals,NA,NA
Ukraine,UKR,Europe,Fisheries & Mariculture,1.826163294910281,Q3 (0.35 - 1.9)
Ukraine,UKR,Europe,Mangroves,NA,NA
Ukraine,UKR,Europe,Ports,0.018574437836407186,Q1 (0 - 0.08)
Uganda,UGA,Africa,Corals,NA,NA
Uganda,UGA,Africa,Fisheries & Mariculture,NA,NA
Uganda,UGA,Africa,Mangroves,NA,NA
Uganda,UGA,Africa,Ports,NA,NA
Turkey,TUR,Asia,Corals,NA,NA
Turkey,TUR,Asia,Fisheries & Mariculture,1.3621585440883208,Q3 (0.35 - 1.9)
Turkey,TUR,Asia,Mangroves,NA,NA
Turkey,TUR,Asia,Ports,0.04745966651998782,Q1 (0 - 0.08)
Tunisia,TUN,Africa,Corals,NA,NA
Tunisia,TUN,Africa,Fisheries & Mariculture,5.303304359842851,Q4 (1.9 - 20.5)
Tunisia,TUN,Africa,Mangroves,NA,NA
Tunisia,TUN,Africa,Ports,0.11230036962901126,Q2 (0.08 - 0.35)
Trinidad and Tobago,TTO,North America,Corals,0.7997908441110199,Q3 (0.35 - 1.9)
Trinidad and Tobago,TTO,North America,Fisheries & Mariculture,1.6711755619021278,Q3 (0.35 - 1.9)
Trinidad and Tobago,TTO,North America,Mangroves,NA,NA
Trinidad and Tobago,TTO,North America,Ports,0.9802813016750653,Q3 (0.35 - 1.9)
Togo,TGO,Africa,Corals,NA,NA
Togo,TGO,Africa,Fisheries & Mariculture,8.149285165589722,Q4 (1.9 - 20.5)
Togo,TGO,Africa,Mangroves,0.0024024341112159737,Q1 (0 - 0.08)
Togo,TGO,Africa,Ports,0.4491749517801643,Q3 (0.35 - 1.9)
Timor-Leste,TLS,Asia,Corals,2.211568458053134,Q4 (1.9 - 20.5)
Timor-Leste,TLS,Asia,Fisheries & Mariculture,6.345947657254126,Q4 (1.9 - 20.5)
Timor-Leste,TLS,Asia,Mangroves,0.06171953684987562,Q1 (0 - 0.08)
Timor-Leste,TLS,Asia,Ports,NA,NA
Thailand,THA,Asia,Corals,0.3215592734574402,Q2 (0.08 - 0.35)
Thailand,THA,Asia,Fisheries & Mariculture,1.9840577939083524,Q4 (1.9 - 20.5)
Thailand,THA,Asia,Mangroves,0.3254133638859572,Q2 (0.08 - 0.35)
Thailand,THA,Asia,Ports,0.1578745104927539,Q2 (0.08 - 0.35)
Tanzania,TZA,Africa,Corals,1.6344823509379165,Q3 (0.35 - 1.9)
Tanzania,TZA,Africa,Fisheries & Mariculture,2.0201232029198053,Q4 (1.9 - 20.5)
Tanzania,TZA,Africa,Mangroves,0.20592553023640153,Q2 (0.08 - 0.35)
Tanzania,TZA,Africa,Ports,0.08328207060356989,Q1 (0 - 0.08)
Tajikistan,TJK,Asia,Corals,NA,NA
Tajikistan,TJK,Asia,Fisheries & Mariculture,NA,NA
Tajikistan,TJK,Asia,Mangroves,NA,NA
Tajikistan,TJK,Asia,Ports,NA,NA
Switzerland,CHE,Europe,Corals,NA,NA
Switzerland,CHE,Europe,Fisheries & Mariculture,NA,NA
Switzerland,CHE,Europe,Mangroves,NA,NA
Switzerland,CHE,Europe,Ports,NA,NA
Sweden,SWE,Europe,Corals,NA,NA
Sweden,SWE,Europe,Fisheries & Mariculture,1.3808157884214631,Q3 (0.35 - 1.9)
Sweden,SWE,Europe,Mangroves,NA,NA
Sweden,SWE,Europe,Ports,0.03814718028395706,Q1 (0 - 0.08)
eSwatini,SWZ,Africa,Corals,NA,NA
eSwatini,SWZ,Africa,Fisheries & Mariculture,NA,NA
eSwatini,SWZ,Africa,Mangroves,NA,NA
eSwatini,SWZ,Africa,Ports,NA,NA
Suriname,SUR,South America,Corals,NA,NA
Suriname,SUR,South America,Fisheries & Mariculture,1.0715242057414593,Q3 (0.35 - 1.9)
Suriname,SUR,South America,Mangroves,0.36014284421335085,Q3 (0.35 - 1.9)
Suriname,SUR,South America,Ports,0.3781368121877344,Q3 (0.35 - 1.9)
Sudan,SDN,Africa,Corals,5.10099321090265,Q4 (1.9 - 20.5)
Sudan,SDN,Africa,Fisheries & Mariculture,0.7861157110361175,Q3 (0.35 - 1.9)
Sudan,SDN,Africa,Mangroves,0.0071950889031638645,Q1 (0 - 0.08)
Sudan,SDN,Africa,Ports,0.004428676426116074,Q1 (0 - 0.08)
Sri Lanka,LKA,Asia,Corals,1.3798877706596113,Q3 (0.35 - 1.9)
Sri Lanka,LKA,Asia,Fisheries & Mariculture,5.888411926159595,Q4 (1.9 - 20.5)
Sri Lanka,LKA,Asia,Mangroves,0.05706714660639227,Q1 (0 - 0.08)
Sri Lanka,LKA,Asia,Ports,0.10934979471119487,Q2 (0.08 - 0.35)
Spain,ESP,Europe,Corals,NA,NA
Spain,ESP,Europe,Fisheries & Mariculture,1.7620931451680488,Q3 (0.35 - 1.9)
Spain,ESP,Europe,Mangroves,NA,NA
Spain,ESP,Europe,Ports,0.04961033206440594,Q1 (0 - 0.08)
