iso3,scc,oc_capital,valuation
AGO,5.123533800059905e-10,Corals,Market value
AGO,8.935075836626573e-10,Corals,Non-market use value
AGO,8.935075836626573e-10,Corals,Nonuse value
AGO,8.926765661348895e-05,Fisheries,Market value
AGO,8.935075836626573e-10,Fisheries,Non-market use value
AGO,5.123533800059905e-10,Mangroves,Market value
AGO,0.005798945203508283,Mangroves,Non-market use value
AGO,0.005381270878573995,Mangroves,Nonuse value
AGO,0.037839160660068774,Ports,Market value
AGO,0.049108639059371906,Total,Total
ALB,2.6276796910865943e-12,Corals,Market value
ALB,-2.0867583490615383e-11,Corals,Non-market use value
ALB,-2.0867583490615383e-11,Corals,Nonuse value
ALB,3.179613983328327e-05,Fisheries,Market value
ALB,-2.0867583490615383e-11,Fisheries,Non-market use value
ALB,2.6276796910865943e-12,Mangroves,Market value
ALB,-2.0867583490615383e-11,Mangroves,Non-market use value
ALB,-2.0867583490615383e-11,Mangroves,Nonuse value
ALB,0.00017365764388242854,Ports,Market value
ALB,0.00020545375366190548,Total,Total
ARE,-1.8567643440874609e-09,Corals,Market value
ARE,0.15679993510890403,Corals,Non-market use value
ARE,0.06813247443149431,Corals,Nonuse value
ARE,0.0001112303633354487,Fisheries,Market value
ARE,-2.2402153549036786e-09,Fisheries,Non-market use value
ARE,-1.8567643440874609e-09,Mangroves,Market value
ARE,0.005829834251318061,Mangroves,Non-market use value
ARE,0.017785116391670526,Mangroves,Nonuse value
ARE,0.040249798397578175,Ports,Market value
ARE,0.2889084039898899,Total,Total
ARG,-1.6382799859667277e-09,Corals,Market value
ARG,-1.5083895947014306e-09,Corals,Non-market use value
ARG,-1.5083895947014306e-09,Corals,Nonuse value
ARG,0.0002454746768311185,Fisheries,Market value
ARG,0.09560354188250582,Fisheries,Non-market use value
ARG,-1.6382799859667277e-09,Mangroves,Market value
ARG,-1.5083895947014306e-09,Mangroves,Non-market use value
ARG,-1.5083895947014306e-09,Mangroves,Nonuse value
ARG,0.011451014467965434,Ports,Market value
ARG,0.10730003242056707,Total,Total
ARM,9.796290382857246e-12,Corals,Market value
ARM,9.796290382857246e-12,Corals,Non-market use value
ARM,9.796290382857246e-12,Corals,Nonuse value
ARM,9.796290382857246e-12,Fisheries,Market value
ARM,9.796290382857246e-12,Fisheries,Non-market use value
ARM,9.796290382857246e-12,Mangroves,Market value
ARM,9.796290382857246e-12,Mangroves,Non-market use value
ARM,9.796290382857246e-12,Mangroves,Nonuse value
ARM,9.796290382857246e-12,Ports,Market value
ARM,-0.0,Total,Total
AUS,0.017082825139371226,Corals,Market value
AUS,0.9228882757443054,Corals,Non-market use value
AUS,0.950654072592924,Corals,Nonuse value
AUS,0.0029884833570960915,Fisheries,Market value
AUS,0.029685612588439814,Fisheries,Non-market use value
AUS,0.0004223764854876418,Mangroves,Market value
AUS,0.002317846805075059,Mangroves,Non-market use value
AUS,0.006850634260180239,Mangroves,Nonuse value
AUS,0.025680376529210448,Ports,Market value
AUS,1.9585704437709959,Total,Total
AUT,-2.364504362656717e-10,Corals,Market value
AUT,-2.364504362656717e-10,Corals,Non-market use value
AUT,-2.364504362656717e-10,Corals,Nonuse value
AUT,-2.364504362656717e-10,Fisheries,Market value
AUT,-2.364504362656717e-10,Fisheries,Non-market use value
AUT,-2.364504362656717e-10,Mangroves,Market value
AUT,-2.364504362656717e-10,Mangroves,Non-market use value
AUT,-2.364504362656717e-10,Mangroves,Nonuse value
AUT,-2.364504362656717e-10,Ports,Market value
AUT,-0.0,Total,Total
AZE,-3.454025696379911e-11,Corals,Market value
AZE,-3.454025696379911e-11,Corals,Non-market use value
AZE,-3.454025696379911e-11,Corals,Nonuse value
AZE,-3.454025696379911e-11,Fisheries,Market value
AZE,-3.454025696379911e-11,Fisheries,Non-market use value
AZE,-3.454025696379911e-11,Mangroves,Market value
AZE,-3.454025696379911e-11,Mangroves,Non-market use value
AZE,-3.454025696379911e-11,Mangroves,Nonuse value
AZE,-3.454025696379911e-11,Ports,Market value
AZE,-0.0,Total,Total
BEL,1.3443878314137247e-09,Corals,Market value
BEL,1.0114237685656095e-09,Corals,Non-market use value
BEL,1.0114237685656095e-09,Corals,Nonuse value
BEL,4.139009409612173e-06,Fisheries,Market value
BEL,0.07975988141023974,Fisheries,Non-market use value
BEL,1.3443878314137247e-09,Mangroves,Market value
BEL,1.0114237685656095e-09,Mangroves,Non-market use value
BEL,1.0114237685656095e-09,Mangroves,Nonuse value
BEL,0.010754886456529713,Ports,Market value
BEL,0.09051890285231581,Total,Total
BEN,2.9276431069306806e-10,Corals,Market value
BEN,2.991427721518409e-10,Corals,Non-market use value
BEN,2.991427721518409e-10,Corals,Nonuse value
BEN,3.563405968793399e-05,Fisheries,Market value
BEN,0.04111876003063336,Fisheries,Non-market use value
BEN,2.8774763886100346e-05,Mangroves,Market value
BEN,3.7633328857579007e-06,Mangroves,Non-market use value
BEN,0.0011410723388334976,Mangroves,Nonuse value
BEN,0.0013757113037875866,Ports,Market value
BEN,0.04370371428354246,Total,Total
BFA,4.898680946730736e-11,Corals,Market value
BFA,4.898680946730736e-11,Corals,Non-market use value
BFA,4.898680946730736e-11,Corals,Nonuse value
BFA,4.898680946730736e-11,Fisheries,Market value
BFA,4.898680946730736e-11,Fisheries,Non-market use value
BFA,4.898680946730736e-11,Mangroves,Market value
BFA,4.898680946730736e-11,Mangroves,Non-market use value
BFA,4.898680946730736e-11,Mangroves,Nonuse value
BFA,4.898680946730736e-11,Ports,Market value
BFA,-0.0,Total,Total
BGD,2.915735809586837e-06,Corals,Market value
BGD,4.239671652629901e-06,Corals,Non-market use value
BGD,0.0003338666797507138,Corals,Nonuse value
BGD,2.1730185856911157e-05,Fisheries,Market value
BGD,0.29130309567565077,Fisheries,Non-market use value
BGD,0.0015773249213745968,Mangroves,Market value
BGD,0.0008846662116482968,Mangroves,Non-market use value
BGD,0.02041946830145748,Mangroves,Nonuse value
BGD,0.008562266784344592,Ports,Market value
BGD,0.3231095594324078,Total,Total
BGR,-5.280256191789505e-11,Corals,Market value
BGR,-3.1371601882302273e-10,Corals,Non-market use value
BGR,-3.1371601882302273e-10,Corals,Nonuse value
BGR,1.7151274005062223e-05,Fisheries,Market value
BGR,0.01708647300237869,Fisheries,Non-market use value
BGR,-5.280256191789505e-11,Mangroves,Market value
BGR,-3.1371601882302273e-10,Mangroves,Non-market use value
BGR,-3.1371601882302273e-10,Mangroves,Nonuse value
BGR,0.0003570927912794872,Ports,Market value
BGR,0.017460717230483678,Total,Total
BHR,4.5881153208121594e-05,Corals,Market value
