Table S10. Ports Coefficients,,,
,iso_a3,GDP_FractionChange_perC,GDP_FractionChange_perC_se
1,ZWE,NA,NA
2,ZMB,NA,NA
3,YEM,0,0
4,VNM,-0.002278754,0.000183106
5,VEN,0,0
6,VAT,NA,NA
7,VUT,0.005038305,0.000507076
8,UZB,NA,NA
9,URY,-0.003351527,0.0005851
10,FSM,NA,NA
11,MHL,NA,NA
12,MNP,NA,NA
13,VIR,NA,NA
14,GUM,NA,NA
15,ASM,NA,NA
16,PRI,NA,NA
17,USA,-0.000737337,2.74E-05
18,SGS,NA,NA
19,IOT,NA,NA
20,SHN,NA,NA
21,PCN,NA,NA
22,AIA,NA,NA
23,FLK,NA,NA
24,CYM,NA,NA
25,BMU,NA,NA
26,VGB,NA,NA
27,TCA,NA,NA
28,MSR,NA,NA
29,JEY,NA,NA
30,GGY,NA,NA
31,IMN,NA,NA
32,GBR,-0.000585574,3.92E-05
33,ARE,-0.002974371,0.000260518
34,UKR,-0.000212799,1.66E-05
35,UGA,NA,NA
36,TKM,NA,NA
37,TUR,-0.000607263,2.81E-05
38,TUN,-0.001233531,7.25E-05
39,TTO,-0.013056947,0.001271916
40,TON,0.000581064,0.000400953
41,TGO,-0.005127104,0.000752528
42,TLS,NA,NA
43,THA,-0.002124097,0.000121662
44,TZA,-0.00108829,0.000101222
45,TJK,NA,NA
46,TWN,NA,NA
47,SYR,0,0
48,CHE,NA,NA
49,SWE,-0.00050461,5.74E-05
50,SWZ,NA,NA
51,SUR,-0.006075181,0.000285884
52,SSD,NA,NA
53,SDN,-4.57E-05,2.75E-05
54,LKA,-0.001461982,9.46E-05
55,ESP,-0.000604996,4.53E-05
56,KOR,-0.003315129,0.000190013
57,ZAF,-0.001967428,0.000159451
58,SOM,-0.002537002,0.000190803
59,-99,NA,NA
60,SLB,-1.77E-05,0.000355776
61,SVK,NA,NA
62,SVN,-0.001656619,9.75E-05
63,SGP,-0.010871037,0.000501692
64,SLE,-0.001606965,0.000193715
65,SYC,NA,NA
66,SRB,NA,NA
67,SEN,-0.00214121,0.000153924
68,SAU,-0.001464743,0.000125979
69,STP,NA,NA
70,SMR,NA,NA
71,WSM,-0.000405682,0.00041806
72,VCT,-0.003346795,0.000490369
