Table S11. Fisheries Coefficients,,,
,iso_a3,GDP_FractionChange_perC,GDP_FractionChange_perC_se
1,ZWE,NA,NA
2,ZMB,NA,NA
3,YEM,-1.68E-05,1.42E-06
4,VNM,-3.19E-05,3.85E-06
5,VEN,-9.48E-06,9.82E-07
6,VAT,NA,NA
7,VUT,-6.45E-05,4.15E-05
8,UZB,NA,NA
9,URY,-8.29E-05,9.95E-06
10,FSM,NA,NA
11,MHL,NA,NA
12,MNP,NA,NA
13,VIR,NA,NA
14,GUM,NA,NA
15,ASM,NA,NA
16,PRI,NA,NA
17,USA,-1.22E-05,1.53E-06
18,SGS,NA,NA
19,IOT,NA,NA
20,SHN,NA,NA
21,PCN,NA,NA
22,AIA,NA,NA
23,FLK,NA,NA
24,CYM,NA,NA
25,BMU,NA,NA
26,VGB,NA,NA
27,TCA,NA,NA
28,MSR,NA,NA
29,JEY,NA,NA
30,GGY,NA,NA
31,IMN,NA,NA
32,GBR,3.10E-07,9.20E-07
33,ARE,-8.22E-06,3.41E-06
34,UKR,5.87E-07,1.23E-06
35,UGA,NA,NA
36,TKM,0,0
37,TUR,-3.73E-06,2.49E-07
38,TUN,-8.53E-05,4.57E-06
39,TTO,-8.41E-05,1.08E-05
40,TON,-0.000867136,0.000364149
41,TGO,-6.70E-05,3.74E-05
42,TLS,-0.000122733,2.35E-05
43,THA,-4.13E-05,3.24E-06
44,TZA,2.58E-07,4.07E-07
45,TJK,NA,NA
46,TWN,-8.35E-05,6.50E-06
47,SYR,-1.73E-06,1.61E-07
48,CHE,NA,NA
49,SWE,7.67E-06,1.48E-06
50,SWZ,NA,NA
51,SUR,-0.000168808,2.57E-05
52,SSD,NA,NA
53,SDN,-1.26E-05,1.44E-06
54,LKA,-1.71E-05,1.96E-06
55,ESP,-1.95E-05,8.43E-07
56,KOR,-9.26E-05,3.69E-06
57,ZAF,-6.01E-06,1.62E-06
58,SOM,-3.92E-05,3.27E-05
59,-99,NA,NA
60,SLB,-0.001521406,0.000290854
61,SVK,NA,NA
62,SVN,-9.98E-08,1.54E-08
63,SGP,-1.46E-06,1.12E-07
64,SLE,-0.00035649,6.48E-05
65,SYC,NA,NA
66,SRB,NA,NA
67,SEN,-0.0001178,1.27E-05
