Table S14. Ports throughput,,,,
iso3,year,RCP,SSP,throughput
ABW,2030,RCP4.5,SSP1,48610806.69
ABW,2030,RCP4.5,SSP2,39614160.52
ABW,2030,RCP4.5,SSP5,52564522.48
AGO,2030,RCP4.5,SSP1,299919234.4
AGO,2030,RCP4.5,SSP2,247047081.4
AGO,2030,RCP4.5,SSP5,325702659.5
AIA,2030,RCP4.5,SSP1,43448.06723
AIA,2030,RCP4.5,SSP2,47056.94903
AIA,2030,RCP4.5,SSP5,56661.48908
ALB,2030,RCP4.5,SSP1,2620005.564
ALB,2030,RCP4.5,SSP2,2467171.796
ALB,2030,RCP4.5,SSP5,3072658.437
ARE,2030,RCP4.5,SSP1,646951228.5
ARE,2030,RCP4.5,SSP2,599926372.1
ARE,2030,RCP4.5,SSP5,754624224.8
ARG,2030,RCP4.5,SSP1,170589851.7
ARG,2030,RCP4.5,SSP2,197346344.5
ARG,2030,RCP4.5,SSP5,223409857.7
ASM,2030,RCP4.5,SSP1,288310.7117
ASM,2030,RCP4.5,SSP2,316686.2198
ASM,2030,RCP4.5,SSP5,371012.4071
ATG,2030,RCP4.5,SSP1,774280.3022
ATG,2030,RCP4.5,SSP2,770618.0036
ATG,2030,RCP4.5,SSP5,950432.8239
AUS,2030,RCP4.5,SSP1,2845764978
AUS,2030,RCP4.5,SSP2,2478068696
AUS,2030,RCP4.5,SSP5,3202494863
AZE,2030,RCP4.5,SSP1,1879608.061
AZE,2030,RCP4.5,SSP2,1809797.399
AZE,2030,RCP4.5,SSP5,2254711.369
BEL,2030,RCP4.5,SSP1,508561749.4
BEL,2030,RCP4.5,SSP2,508548015.3
BEL,2030,RCP4.5,SSP5,626441911.4
BEN,2030,RCP4.5,SSP1,45316497.67
BEN,2030,RCP4.5,SSP2,45860933.11
BEN,2030,RCP4.5,SSP5,55740345.29
BES,2030,RCP4.5,SSP1,2601622.726
BES,2030,RCP4.5,SSP2,2493661.476
BES,2030,RCP4.5,SSP5,3100024.31
BGD,2030,RCP4.5,SSP1,46929645.2
BGD,2030,RCP4.5,SSP2,49279172.6
BGD,2030,RCP4.5,SSP5,59230850.21
BGR,2030,RCP4.5,SSP1,99599277.66
BGR,2030,RCP4.5,SSP2,85149906.82
BGR,2030,RCP4.5,SSP5,110629953.7
BHR,2030,RCP4.5,SSP1,64969366.89
BHR,2030,RCP4.5,SSP2,60153837.97
BHR,2030,RCP4.5,SSP5,75667790.65
BHS,2030,RCP4.5,SSP1,30852126.21
BHS,2030,RCP4.5,SSP2,32270940.95
BHS,2030,RCP4.5,SSP5,38654550.37
BLM,2030,RCP4.5,SSP1,95129.9101
BLM,2030,RCP4.5,SSP2,95993.43536
BLM,2030,RCP4.5,SSP5,117186.8651
BLZ,2030,RCP4.5,SSP1,1709467.725
BLZ,2030,RCP4.5,SSP2,1945384.807
BLZ,2030,RCP4.5,SSP5,2204596.534
BRA,2030,RCP4.5,SSP1,1234952509
BRA,2030,RCP4.5,SSP2,1156478803
BRA,2030,RCP4.5,SSP5,1450775446
BRB,2030,RCP4.5,SSP1,1234283.794
BRB,2030,RCP4.5,SSP2,1289138.935
BRB,2030,RCP4.5,SSP5,1558972.507
BRN,2030,RCP4.5,SSP1,6520821.215
BRN,2030,RCP4.5,SSP2,6304504.451
BRN,2030,RCP4.5,SSP5,7808035.807
CAN,2030,RCP4.5,SSP1,452847732.6
CAN,2030,RCP4.5,SSP2,476130988
CAN,2030,RCP4.5,SSP5,577521005
CHL,2030,RCP4.5,SSP1,201891598.2
CHL,2030,RCP4.5,SSP2,231944304.6
CHL,2030,RCP4.5,SSP5,274648654.6
CHN,2030,RCP4.5,SSP1,6399683365
CHN,2030,RCP4.5,SSP2,6076733445
CHN,2030,RCP4.5,SSP5,7581298223
CIV,2030,RCP4.5,SSP1,37690514.55
CIV,2030,RCP4.5,SSP2,37960627.32
CIV,2030,RCP4.5,SSP5,46313996.72
CMR,2030,RCP4.5,SSP1,39738246.93
CMR,2030,RCP4.5,SSP2,40401788.42
CMR,2030,RCP4.5,SSP5,49825663.27
COD,2030,RCP4.5,SSP1,15995626.72
COD,2030,RCP4.5,SSP2,15478226.46
COD,2030,RCP4.5,SSP5,18949303.93
COG,2030,RCP4.5,SSP1,59217380.31
COG,2030,RCP4.5,SSP2,55685759.83
COG,2030,RCP4.5,SSP5,69928895.34
COK,2030,RCP4.5,SSP1,97783.34224
COK,2030,RCP4.5,SSP2,105668.8093
COK,2030,RCP4.5,SSP5,122807.6107
COL,2030,RCP4.5,SSP1,229131081.4
COL,2030,RCP4.5,SSP2,220164458.7
COL,2030,RCP4.5,SSP5,274341051.3
COM,2030,RCP4.5,SSP1,1401554.003
COM,2030,RCP4.5,SSP2,1385973.733
COM,2030,RCP4.5,SSP5,1696431.672
CPV,2030,RCP4.5,SSP1,1808200.44
CPV,2030,RCP4.5,SSP2,1995122.666
CPV,2030,RCP4.5,SSP5,2336776.976
CRI,2030,RCP4.5,SSP1,22982101.59
CRI,2030,RCP4.5,SSP2,25064933.96
CRI,2030,RCP4.5,SSP5,29853748.41
CUB,2030,RCP4.5,SSP1,10602441.09
CUB,2030,RCP4.5,SSP2,12471617.33
CUB,2030,RCP4.5,SSP5,14000688.47
CUW,2030,RCP4.5,SSP1,14971786.65
CUW,2030,RCP4.5,SSP2,14985172.48
CUW,2030,RCP4.5,SSP5,18356914.31
CYM,2030,RCP4.5,SSP1,1112494.422
CYM,2030,RCP4.5,SSP2,1159728.885
CYM,2030,RCP4.5,SSP5,1399752.181
CYP,2030,RCP4.5,SSP1,21733360.59
CYP,2030,RCP4.5,SSP2,21207954.47
CYP,2030,RCP4.5,SSP5,26169695.87
DEU,2030,RCP4.5,SSP1,335118111.1
DEU,2030,RCP4.5,SSP2,366627182.8
DEU,2030,RCP4.5,SSP5,442497656.3
DJI,2030,RCP4.5,SSP1,23070237.43
DJI,2030,RCP4.5,SSP2,24144163.78
DJI,2030,RCP4.5,SSP5,28885835.39
DMA,2030,RCP4.5,SSP1,248734.9865
DMA,2030,RCP4.5,SSP2,250795.7766
DMA,2030,RCP4.5,SSP5,306337.9187
DNK,2030,RCP4.5,SSP1,47719806.05
DNK,2030,RCP4.5,SSP2,51345475.23
DNK,2030,RCP4.5,SSP5,61371180.44
DOM,2030,RCP4.5,SSP1,36320162.74
DOM,2030,RCP4.5,SSP2,38030764.63
DOM,2030,RCP4.5,SSP5,45735083.39
DZA,2030,RCP4.5,SSP1,113453703.2
DZA,2030,RCP4.5,SSP2,110086088.2
DZA,2030,RCP4.5,SSP5,136383269.8
ECU,2030,RCP4.5,SSP1,53593731.33
ECU,2030,RCP4.5,SSP2,56204465.37
ECU,2030,RCP4.5,SSP5,67891312.86
EGY,2030,RCP4.5,SSP1,192860947.5
EGY,2030,RCP4.5,SSP2,199097771.6
EGY,2030,RCP4.5,SSP5,240825718.1
ERI,2030,RCP4.5,SSP1,1986280.509
ERI,2030,RCP4.5,SSP2,1865143.148
ERI,2030,RCP4.5,SSP5,2304688.696
ESH,2030,RCP4.5,SSP1,877484.54
ESH,2030,RCP4.5,SSP2,770860.5814
ESH,2030,RCP4.5,SSP5,991516.9522
ESP,2030,RCP4.5,SSP1,914276980.5
ESP,2030,RCP4.5,SSP2,890018908.1
ESP,2030,RCP4.5,SSP5,1102590640
EST,2030,RCP4.5,SSP1,20511834.5
EST,2030,RCP4.5,SSP2,22490211.88
EST,2030,RCP4.5,SSP5,27404787.18
FIN,2030,RCP4.5,SSP1,98918753.25
FIN,2030,RCP4.5,SSP2,104474094.6
FIN,2030,RCP4.5,SSP5,129131339.9
FJI,2030,RCP4.5,SSP1,3879497.665
FJI,2030,RCP4.5,SSP2,4404539.443
FJI,2030,RCP4.5,SSP5,5100553.193
FRA,2030,RCP4.5,SSP1,331873355.4
FRA,2030,RCP4.5,SSP2,333330601.3
FRA,2030,RCP4.5,SSP5,411145269.8
FSM,2030,RCP4.5,SSP1,200309.1997
FSM,2030,RCP4.5,SSP2,218557.8612
FSM,2030,RCP4.5,SSP5,258258.9187
GAB,2030,RCP4.5,SSP1,31793668.65
GAB,2030,RCP4.5,SSP2,27092439.86
GAB,2030,RCP4.5,SSP5,35434571.62
GBR,2030,RCP4.5,SSP1,476673607
GBR,2030,RCP4.5,SSP2,478843064.2
GBR,2030,RCP4.5,SSP5,589245842.2
GEO,2030,RCP4.5,SSP1,7356417.125
GEO,2030,RCP4.5,SSP2,7156980.5
GEO,2030,RCP4.5,SSP5,8824724.399
GHA,2030,RCP4.5,SSP1,58858645.95
GHA,2030,RCP4.5,SSP2,57758221.84
GHA,2030,RCP4.5,SSP5,70974779.04
GIB,2030,RCP4.5,SSP1,65996063.82
GIB,2030,RCP4.5,SSP2,56488430.52
GIB,2030,RCP4.5,SSP5,73558052.64
GIN,2030,RCP4.5,SSP1,33920656.11
GIN,2030,RCP4.5,SSP2,29849100.84
GIN,2030,RCP4.5,SSP5,38211525.86
GLP,2030,RCP4.5,SSP1,4557791.459
GLP,2030,RCP4.5,SSP2,4533930.132
GLP,2030,RCP4.5,SSP5,5587933.236
GMB,2030,RCP4.5,SSP1,3637524.171
GMB,2030,RCP4.5,SSP2,4021720.461
GMB,2030,RCP4.5,SSP5,4696886.934
GNB,2030,RCP4.5,SSP1,394899.3469
GNB,2030,RCP4.5,SSP2,443029.5279
GNB,2030,RCP4.5,SSP5,512602.0071
GNQ,2030,RCP4.5,SSP1,63336871.09
GNQ,2030,RCP4.5,SSP2,52462965.2
GNQ,2030,RCP4.5,SSP5,69149428.23
GRC,2030,RCP4.5,SSP1,266747867.6
GRC,2030,RCP4.5,SSP2,274373683.5
GRC,2030,RCP4.5,SSP5,332303230.1
GRD,2030,RCP4.5,SSP1,248983.8223
GRD,2030,RCP4.5,SSP2,273328.8833
GRD,2030,RCP4.5,SSP5,324932.3433
GTM,2030,RCP4.5,SSP1,24031765.86
GTM,2030,RCP4.5,SSP2,24676446.64
GTM,2030,RCP4.5,SSP5,29793614.69
GUF,2030,RCP4.5,SSP1,29603155.59
GUF,2030,RCP4.5,SSP2,27634620.31
GUF,2030,RCP4.5,SSP5,34675406.25
GUM,2030,RCP4.5,SSP1,1221608.521
GUM,2030,RCP4.5,SSP2,1295034.07
GUM,2030,RCP4.5,SSP5,1552779.16
GUY,2030,RCP4.5,SSP1,2966871.422
GUY,2030,RCP4.5,SSP2,2937433.523
GUY,2030,RCP4.5,SSP5,3587605.357
HKG,2030,RCP4.5,SSP1,277880760.5
HKG,2030,RCP4.5,SSP2,295813829
HKG,2030,RCP4.5,SSP5,352472193.8
HND,2030,RCP4.5,SSP1,18451823.81
HND,2030,RCP4.5,SSP2,20782177.66
HND,2030,RCP4.5,SSP5,24418662.65
HRV,2030,RCP4.5,SSP1,15905332.27
HRV,2030,RCP4.5,SSP2,17204415
HRV,2030,RCP4.5,SSP5,20750742.55
HTI,2030,RCP4.5,SSP1,4018517.347
HTI,2030,RCP4.5,SSP2,4116379.829
HTI,2030,RCP4.5,SSP5,4969968.786
IDN,2030,RCP4.5,SSP1,1421371709
IDN,2030,RCP4.5,SSP2,1451783091
IDN,2030,RCP4.5,SSP5,1771815946
IND,2030,RCP4.5,SSP1,1006400171
IND,2030,RCP4.5,SSP2,936857004
IND,2030,RCP4.5,SSP5,1176084173
IRL,2030,RCP4.5,SSP1,57702754.05
IRL,2030,RCP4.5,SSP2,58721629.76
IRL,2030,RCP4.5,SSP5,71615638.37
IRN,2030,RCP4.5,SSP1,62254469.84
IRN,2030,RCP4.5,SSP2,61379948.79
IRN,2030,RCP4.5,SSP5,75621686.97
IRQ,2030,RCP4.5,SSP1,24039684.17
IRQ,2030,RCP4.5,SSP2,21684604.74
IRQ,2030,RCP4.5,SSP5,27388784.58
ISL,2030,RCP4.5,SSP1,9183318.593
ISL,2030,RCP4.5,SSP2,9747450.177
ISL,2030,RCP4.5,SSP5,11451701.29
ISR,2030,RCP4.5,SSP1,42796059
ISR,2030,RCP4.5,SSP2,44241708.95
ISR,2030,RCP4.5,SSP5,53935229.75
ITA,2030,RCP4.5,SSP1,474116965.2
ITA,2030,RCP4.5,SSP2,467305764.6
ITA,2030,RCP4.5,SSP5,578645943.1
JAM,2030,RCP4.5,SSP1,56737597.58
JAM,2030,RCP4.5,SSP2,54820249.02
JAM,2030,RCP4.5,SSP5,68009411.93
JOR,2030,RCP4.5,SSP1,7597606.71
JOR,2030,RCP4.5,SSP2,7652330.175
JOR,2030,RCP4.5,SSP5,9318152.395
JPN,2030,RCP4.5,SSP1,1690446325
JPN,2030,RCP4.5,SSP2,1608586856
JPN,2030,RCP4.5,SSP5,2005857815
KAZ,2030,RCP4.5,SSP1,5932979.586
KAZ,2030,RCP4.5,SSP2,5805330.73
KAZ,2030,RCP4.5,SSP5,7197816.805
KEN,2030,RCP4.5,SSP1,23414426.5
KEN,2030,RCP4.5,SSP2,25464330.01
KEN,2030,RCP4.5,SSP5,30185493.36
KHM,2030,RCP4.5,SSP1,7378977.542
KHM,2030,RCP4.5,SSP2,7175091.033
KHM,2030,RCP4.5,SSP5,8862302.491
KIR,2030,RCP4.5,SSP1,45995.35443
KIR,2030,RCP4.5,SSP2,53876.13265
KIR,2030,RCP4.5,SSP5,60064.19309
KNA,2030,RCP4.5,SSP1,349990.9778
KNA,2030,RCP4.5,SSP2,372606.561
KNA,2030,RCP4.5,SSP5,443427.235
KOR,2030,RCP4.5,SSP1,1599049342
KOR,2030,RCP4.5,SSP2,1498228933
KOR,2030,RCP4.5,SSP5,1880517624
KWT,2030,RCP4.5,SSP1,95874566.88
KWT,2030,RCP4.5,SSP2,88964374.86
KWT,2030,RCP4.5,SSP5,112202045.6
LBN,2030,RCP4.5,SSP1,42782171.02
LBN,2030,RCP4.5,SSP2,42355428.45
LBN,2030,RCP4.5,SSP5,52090504.49
LBR,2030,RCP4.5,SSP1,19067623.43
LBR,2030,RCP4.5,SSP2,16218817.83
LBR,2030,RCP4.5,SSP5,21076738.18
LBY,2030,RCP4.5,SSP1,21037952.34
LBY,2030,RCP4.5,SSP2,20837873.96
LBY,2030,RCP4.5,SSP5,25545457.69
LCA,2030,RCP4.5,SSP1,4681458.693
LCA,2030,RCP4.5,SSP2,4110961.854
LCA,2030,RCP4.5,SSP5,5303822.9
LKA,2030,RCP4.5,SSP1,191266227.5
LKA,2030,RCP4.5,SSP2,182561949
LKA,2030,RCP4.5,SSP5,226893129.1
LTU,2030,RCP4.5,SSP1,33638013.26
LTU,2030,RCP4.5,SSP2,35047101.31
LTU,2030,RCP4.5,SSP5,42627283.07
LVA,2030,RCP4.5,SSP1,57140030.6
LVA,2030,RCP4.5,SSP2,55359083.41
LVA,2030,RCP4.5,SSP5,69425961.28
MAC,2030,RCP4.5,SSP1,84276844.73
MAC,2030,RCP4.5,SSP2,101571945.2
MAC,2030,RCP4.5,SSP5,109487303.1
MAF,2030,RCP4.5,SSP1,205372.8221
MAF,2030,RCP4.5,SSP2,178733.6165
MAF,2030,RCP4.5,SSP5,231438.8166
MAR,2030,RCP4.5,SSP1,217324804
MAR,2030,RCP4.5,SSP2,209992083.9
MAR,2030,RCP4.5,SSP5,260640187.6
