Table S8. Mangroves Coefficients,,,,,,
,countrycode,FractionChange_perC,FractionChange_perC_se,FractionChange_perC_sq,FractionChange_perC_sq_se,MangroveArea_2020_km2
1,AGO,-0.006304342,0.000268622,3.96E-05,0.000134579,517.1389713
2,ARE,-0.006719187,0.000140733,-0.000668113,7.05E-05,54.29340922
3,ASM,-0.002917285,7.77E-05,-0.000876163,3.89E-05,0.318723804
4,AUS,-0.0055127,0.000117045,-0.001641752,5.86E-05,7866.758664
5,BEN,-0.011557889,0.000491173,-0.000510782,0.000246077,5.964209724
6,BGD,-0.008488919,0.000344018,-0.002362257,0.000172353,2285.317162
7,BHS,-0.002917392,5.82E-05,-0.000521354,2.92E-05,1080.529995
8,BLZ,-0.003442996,7.85E-05,-0.001096935,3.93E-05,279.5570596
9,BRA,-0.002273247,4.40E-05,-0.001301857,2.20E-05,10653.16337
10,BRN,-0.004147412,6.57E-05,-0.000734053,3.29E-05,12.60705187
11,CHN,-0.005401377,0.000147852,-0.000463289,7.41E-05,237.145452
12,CIV,-0.004032892,0.000111348,-0.001683137,5.58E-05,44.35095145
13,CMR,-0.001036869,0.000162509,0.000479402,8.14E-05,643.6332545
14,COG,-0.003133093,6.89E-05,-0.001374819,3.45E-05,21.88328812
15,COL,-0.002319536,6.11E-05,-0.000816682,3.06E-05,2129.54748
16,COM,-0.006616057,0.00023686,0.001697211,0.000118666,0.969497924
17,CRI,-0.002598261,0.000161059,-0.000590019,8.07E-05,239.7147745
18,CUB,-0.005404189,9.46E-05,-0.000647074,4.74E-05,2321.872671
19,CUW,-0.001418263,5.17E-05,-0.000611889,2.59E-05,4.80397589
20,CYM,-0.003673189,6.49E-05,-0.000574632,3.25E-05,1.118909596
21,DJI,-0.008496441,0.000161926,-0.00176993,8.11E-05,7.111448564
22,DOM,-0.004471098,9.45E-05,-0.000627631,4.73E-05,127.6990488
23,ECU,0.002269903,0.000195044,-0.001607584,9.77E-05,1327.017694
24,EGY,-0.011007304,0.000237728,-0.002291833,0.000119101,1.223568014
25,ERI,-0.015001174,0.000363924,-0.003015044,0.000182325,60.0443366
26,FJI,-0.002340776,9.08E-05,4.45E-05,4.55E-05,487.2773019
27,FSM,-0.002832463,0.000105636,-0.001035552,5.29E-05,69.27217812
28,GAB,-0.002818252,6.87E-05,0.000880542,3.44E-05,1652.620424
29,GHA,-0.007313785,0.00024188,-0.00052139,0.000121182,144.8200494
30,GIN,-0.01084638,0.000185063,0.00055114,9.27E-05,1335.748822
31,GNB,-0.010475833,0.000192243,-0.001124388,9.63E-05,979.8336921
32,GNQ,-0.000821851,0.000170621,-0.000864758,8.55E-05,39.46326046
33,GRD,-0.002423869,5.38E-05,-0.000704213,2.69E-05,0.028544299
34,GTM,-0.00639765,0.000113245,0.000304249,5.67E-05,141.2288093
35,GUF,-0.002235655,4.75E-05,-0.000984838,2.38E-05,482.350025
36,GUM,-0.002193425,8.95E-05,-0.001052003,4.48E-05,0.418052434
37,GUY,-0.002712984,5.18E-05,-0.001010817,2.59E-05,91.39934578
38,HND,-0.005915191,0.000211027,-0.001628112,0.000105724,366.8341794
39,HTI,-0.005624539,0.000104898,-0.000762281,5.26E-05,76.68812188
40,IDN,-0.002299445,4.21E-05,0.000142274,2.11E-05,25045.34888
41,IND,-0.010487414,0.000300364,-0.001974468,0.000150482,2887.277655
42,IRN,-0.01612889,0.000250996,-0.002298758,0.000125748,75.43688613
43,JAM,-0.00359177,6.60E-05,-0.000774147,3.31E-05,77.73711373
44,JPN,-0.003130065,6.16E-05,-0.000712446,3.09E-05,4.531620123
45,KEN,-0.005614083,0.000142701,-0.000254061,7.15E-05,527.1742667
46,KHM,-0.005569478,0.000210505,-0.001966343,0.000105463,513.8139807
47,LBR,-0.003264903,7.82E-05,-0.001373329,3.92E-05,89.22460317
48,LCA,-0.003857918,8.88E-05,0.00076719,4.45E-05,1.361115777
49,LKA,-0.004648172,8.13E-05,-0.001122389,4.08E-05,101.6956273
50,MDG,-0.006171512,0.000108894,-0.001364893,5.46E-05,2756.55117
51,MEX,-0.005902197,9.03E-05,-0.001056669,4.53E-05,6291.064294
52,MMR,-0.003662988,0.000124915,-0.00198805,6.26E-05,3610.368418
53,MOZ,-0.006630415,0.00013124,-0.002043866,6.58E-05,2913.509028
54,MRT,-0.005594688,0.000131587,-0.00101318,6.59E-05,0.041299234
55,MTQ,-0.002215792,5.73E-05,-0.000565938,2.87E-05,12.14774816
56,MUS,-0.001346257,9.24E-05,-0.001304884,4.63E-05,3.957691708
57,MYS,-0.003357149,6.29E-05,-0.000743584,3.15E-05,3595.648743
58,MYT,-0.003738851,0.000105945,-0.001360508,5.31E-05,6.749985019
59,NCL,-0.001436161,6.13E-05,-0.000952863,3.07E-05,329.1900218
60,NGA,-0.006239725,0.000214927,0.001085812,0.000107678,8634.470163
61,NIC,-0.003376733,9.58E-05,-0.001188212,4.80E-05,593.7240694
62,NZL,0.009964153,0.000128328,-0.003323043,6.43E-05,295.809258
63,OMN,-0.009866649,0.00013866,-0.001685963,6.95E-05,1.804518045
64,PAK,-0.008342036,0.000337252,-0.002242296,0.000168963,593.7612379
65,PAN,-0.002436729,9.13E-05,-0.001181787,4.58E-05,856.8670938
66,PER,-0.003115563,9.72E-05,-0.000978778,4.87E-05,0.793644853
67,PHL,-0.003899318,6.75E-05,-0.00105792,3.38E-05,1781.678122
68,PNG,-0.00111852,9.25E-05,-0.000711809,4.64E-05,4049.038136
69,PRI,-0.001632389,4.06E-05,-0.000322044,2.03E-05,57.72685574
70,PYF,-0.002009257,9.47E-05,-0.000358563,4.74E-05,1.233766334
71,QAT,-0.008347137,0.0001648,-0.001345097,8.26E-05,4.123321577
72,SAU,-0.009621718,0.000157893,-0.002081207,7.91E-05,39.52086395
73,SDN,-0.012104988,0.000200011,-0.002454246,0.000100205,2.322260227
74,SEN,-0.00896537,0.000211287,-0.000651271,0.000105855,1651.389054
75,SLB,-0.005258245,6.88E-05,0.000456228,3.45E-05,515.2663198
76,SLE,-0.010083037,0.000280608,-0.000725303,0.000140584,1269.09219
77,SLV,-0.006648606,0.000201827,-0.00093868,0.000101115,21.43117299
78,SOM,-0.00606923,0.000121476,-0.002033781,6.09E-05,27.67592841
79,STP,-0.000100577,1.69E-05,1.76E-05,8.47E-06,0.483852049
80,SUR,-0.002643545,6.17E-05,-0.001272777,3.09E-05,793.6032371
81,TCA,-0.002143817,5.09E-05,-0.000448155,2.55E-05,150.4239209
