climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,ppb,Atmospheric Concentrations|CH4,1755.23,1757.19,1761.5,1770.29,1778.2,1778.01,1776.53,1778.96,1783.59,1784.23,1783.36,1783.42,1788.95,1798.42,1802.1,1807.85,1813.07,1815.26,1822.58,1831.47,1841.94,1858.01149,1876.12045,1896.12612,1917.87716,1941.24514,1966.11744,1990.59051,2014.66576,2038.37092,2061.74231,2084.83416,2107.66969,2130.27034,2152.64072,2174.79615,2196.73739,2218.16889,2239.1109,2259.57242,2279.54704,2299.07706,2318.1901,2336.94485,2355.36746,2373.50184,2391.38174,2408.58987,2425.15816,2441.11512,2456.48359,2471.26887,2485.49511,2499.19207,2512.41501,2525.2392,2537.72847,2549.68097,2561.1314,2572.11193,2582.63541,2592.70252,2602.31875,2611.52867,2620.36751,2628.86434,2637.07132,2644.67984,2651.73685,2658.2733,2664.31722,2669.88949,2674.98911,2679.6286,2683.84263,2687.68765,2691.21594,2694.16918,2696.58994,2698.51332,2699.97852,2701.01568,2701.65283,2701.90527,2701.77982,2701.28749,2700.45627,2699.19057,2697.53881,2695.55337,2693.26909,2690.72798,2687.95631,2684.96147,2681.74976,2678.31572,2674.65361,2670.86734,2666.96138,2662.98075,2658.97591,2654.97185,2650.9852,2647.01098,2643.04474,2639.06797
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,ppm,Atmospheric Concentrations|CO2,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.57476,405.16823,407.73867,410.2849,412.81129,415.32214,417.89725,420.53127,423.22678,425.98516,428.80783,431.6931,434.63886,437.64239,440.70278,443.81893,446.95215,450.10576,453.28017,456.47683,459.69254,462.92786,466.18707,469.47108,472.78116,476.11719,479.4441,482.76313,486.07421,489.37849,492.67678,495.97237,499.26892,502.57098,505.88266,509.2055,512.52048,515.82654,519.1225,522.40736,525.68054,528.94312,532.19908,535.45138,538.70137,541.95136,545.18321,548.39723,551.59196,554.76681,557.92139,561.05518,564.1696,567.26799,570.35433,573.43102,576.44009,579.38405,582.26206,585.0753,587.82426,590.50958,593.13126,595.6898,598.18659,600.6245,603.00065,605.31792,607.5778,609.77989,611.92382,614.00847,616.03147,617.99147,619.88706,621.71843,623.48868,625.19987,626.85606,628.46057,630.01258,631.50991,632.94887,634.32712,635.64224
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,ppb,Atmospheric Concentrations|N2O,311.279,312.298,313.183,313.907,314.709,315.759,316.493,317.101,317.73,318.357,319.13,319.933,320.646,321.575,322.275,323.141,324.159,325.005,325.919,326.988,328.18,328.93974,329.69618,330.45044,331.20405,331.95701,332.70933,333.48139,334.27309,335.08434,335.91501,336.76507,337.6343,338.52256,339.42969,340.3556,341.30008,342.24966,343.20417,344.16353,345.12762,346.09641,347.06985,348.04797,349.03071,350.01806,351.00999,352.00191,352.99374,353.98545,354.97701,355.9684,356.95958,357.95053,358.94128,359.9319,360.9224,361.91068,362.89672,363.88055,364.86213,365.84146,366.81852,367.79335,368.76596,369.73638,370.70464,371.66861,372.6283,373.58373,374.53492,375.48189,376.42462,377.36313,378.29743,379.22761,380.15373,381.07415,381.98893,382.89811,383.80172,384.6998,385.5924,386.47955,387.36125,388.23754,389.10844,389.97593,390.84005,391.70087,392.55843,393.41279,394.26397,395.112,395.95688,396.79861,397.63719,398.47332,399.30703,400.13838,400.96746,401.79431,402.61897,403.44147,404.2618,405.07996
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.66045,1.78015,1.6561,1.80375,1.99944,2.05499,2.06903,2.02143,2.03374,2.0292,2.0028,2.04092,2.06081,2.17582,2.22009,2.2006,2.33652,2.35742,2.4585,2.43472,2.4694,2.48765,2.52961,2.57412,2.62199,2.66947,2.73353,2.79943,2.85446,2.90576,2.94272,2.97845,3.01452,3.06126,3.10405,3.15315,3.20348,3.26013,3.32934,3.40884,3.46554,3.53007,3.57159,3.62373,3.65984,3.69809,3.73958,3.78881,3.84272,3.90233,3.97685,4.04293,4.11029,4.1607,4.19424,4.22032,4.25871,4.29712,4.33775,4.38798,4.44852,4.51167,4.55758,4.60532,4.65193,4.68202,4.71416,4.74789,4.78739,4.82844,4.87436,4.93422,4.99136,5.04035,5.07567,5.10576,5.13304,5.16592,5.19968,5.23001,5.26409,5.2973,5.33705,5.38354,5.43013,5.47047,5.5006,5.52899,5.54794,5.57142,5.58441,5.60321,5.62867,5.65524,5.69105,5.73132,5.76391,5.80032,5.81144,5.81472,5.82073,5.82443,5.83672,5.84886,5.8711,5.90095
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.21856,-1.13536,-1.29355,-1.30952,-1.13825,-1.08027,-1.08076,-1.18321,-1.20216,-1.20614,-1.24008,-1.24116,-1.25587,-1.18547,-1.15265,-1.22919,-1.1709,-1.21998,-1.16472,-1.21383,-1.19805,-1.18932,-1.18056,-1.17178,-1.16293,-1.15814,-1.15714,-1.15615,-1.15515,-1.15415,-1.15315,-1.15215,-1.15115,-1.15015,-1.14914,-1.14731,-1.14459,-1.14185,-1.13911,-1.13637,-1.13362,-1.13085,-1.12808,-1.12531,-1.12253,-1.11804,-1.11174,-1.10542,-1.09908,-1.09269,-1.08628,-1.07985,-1.0734,-1.0669,-1.06038,-1.05266,-1.04366,-1.03459,-1.02547,-1.01631,-1.0071,-0.99783,-0.9885,-0.97912,-0.9697,-0.96001,-0.95011,-0.94017,-0.93016,-0.92008,-0.90993,-0.89974,-0.88948,-0.87914,-0.86873,-0.85641,-0.842,-0.82745,-0.81277,-0.79799,-0.78309,-0.76803,-0.75285,-0.73754,-0.7221,-0.70823,-0.69597,-0.68363,-0.6712,-0.65866,-0.64602,-0.6333,-0.62048,-0.60755,-0.5945,-0.58364,-0.57499,-0.56629,-0.55753,-0.54873,-0.53988,-0.53096,-0.522,-0.51299,-0.50392,-0.4948
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.26205,-0.2596,-0.26245,-0.26125,-0.24933,-0.25118,-0.25091,-0.24687,-0.25269,-0.26043,-0.26536,-0.26399,-0.26138,-0.25644,-0.24632,-0.24173,-0.24294,-0.24088,-0.23907,-0.23921,-0.23698,-0.23284,-0.2287,-0.22455,-0.22036,-0.21831,-0.21811,-0.2179,-0.2177,-0.21749,-0.21729,-0.21708,-0.21687,-0.21666,-0.21645,-0.21624,-0.21595,-0.21567,-0.21537,-0.21508,-0.21478,-0.21449,-0.21419,-0.21388,-0.21358,-0.21304,-0.21217,-0.21129,-0.21041,-0.20952,-0.20863,-0.20774,-0.20684,-0.20593,-0.20503,-0.20398,-0.20273,-0.20147,-0.20021,-0.19894,-0.19768,-0.1964,-0.19513,-0.19385,-0.19257,-0.19117,-0.18969,-0.1882,-0.18672,-0.18522,-0.18373,-0.18223,-0.18073,-0.17922,-0.1777,-0.17572,-0.17314,-0.17056,-0.16797,-0.16537,-0.16277,-0.16016,-0.15754,-0.15492,-0.15229,-0.15003,-0.14813,-0.14623,-0.14433,-0.14242,-0.1405,-0.13859,-0.13667,-0.13475,-0.13282,-0.13132,-0.13027,-0.12921,-0.12815,-0.12708,-0.12602,-0.12495,-0.12387,-0.1228,-0.12172,-0.12064
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.9565,-0.87576,-1.0311,-1.04827,-0.88892,-0.82909,-0.82986,-0.93634,-0.94947,-0.94571,-0.97472,-0.97717,-0.99448,-0.92903,-0.90633,-0.98746,-0.92796,-0.9791,-0.92566,-0.97462,-0.96107,-0.95648,-0.95186,-0.94723,-0.94256,-0.93983,-0.93903,-0.93824,-0.93745,-0.93666,-0.93587,-0.93507,-0.93428,-0.93348,-0.93269,-0.93107,-0.92864,-0.92619,-0.92374,-0.92129,-0.91883,-0.91637,-0.9139,-0.91143,-0.90895,-0.905,-0.89958,-0.89413,-0.88867,-0.88317,-0.87765,-0.87212,-0.86656,-0.86097,-0.85535,-0.84868,-0.84093,-0.83312,-0.82526,-0.81737,-0.80943,-0.80142,-0.79337,-0.78527,-0.77713,-0.76884,-0.76042,-0.75196,-0.74344,-0.73485,-0.72621,-0.71751,-0.70875,-0.69992,-0.69103,-0.68069,-0.66885,-0.65689,-0.64481,-0.63262,-0.62032,-0.60788,-0.59531,-0.58263,-0.56981,-0.5582,-0.54784,-0.5374,-0.52688,-0.51624,-0.50552,-0.49472,-0.48382,-0.4728,-0.46169,-0.45232,-0.44473,-0.43708,-0.42938,-0.42165,-0.41386,-0.40602,-0.39812,-0.39018,-0.3822,-0.37415
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.49871,0.49942,0.50104,0.5044,0.50741,0.50728,0.50668,0.50759,0.50934,0.50955,0.50918,0.50917,0.51125,0.51483,0.5162,0.51834,0.52028,0.52107,0.5238,0.5271,0.53098,0.53697,0.54367,0.55104,0.559,0.56749,0.57646,0.58522,0.59376,0.60212,0.61029,0.61831,0.62618,0.63392,0.64152,0.64901,0.65637,0.66351,0.67045,0.67718,0.68372,0.69007,0.69626,0.70229,0.70819,0.71396,0.71962,0.72504,0.73024,0.73522,0.73999,0.74456,0.74894,0.75313,0.75717,0.76107,0.76485,0.76845,0.77189,0.77518,0.77832,0.78131,0.78416,0.78688,0.78948,0.79197,0.79437,0.79658,0.79863,0.80051,0.80225,0.80385,0.8053,0.80661,0.8078,0.80887,0.80986,0.81067,0.81132,0.81182,0.8122,0.81244,0.81257,0.81258,0.81249,0.81228,0.81198,0.81154,0.811,0.81035,0.80962,0.80881,0.80794,0.80699,0.80599,0.80491,0.80377,0.80259,0.80138,0.80014,0.7989,0.79765,0.79641,0.79517,0.79393,0.79269
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,W/m^2,Effective Radiative Forcing|CO2,1.43817,1.46533,1.48444,1.52533,1.55433,1.57365,1.59696,1.62936,1.66776,1.69113,1.71949,1.7504,1.77371,1.80484,1.8272,1.8624,1.89439,1.92402,1.96254,1.98831,2.02213,2.05891,2.09503,2.13062,2.16569,2.20029,2.23449,2.26938,2.30488,2.341,2.37775,2.41515,2.45315,2.49172,2.53081,2.57039,2.61046,2.65049,2.69054,2.73061,2.77071,2.8108,2.85089,2.89104,2.93124,2.97151,3.01185,3.05184,3.09149,3.13082,3.16983,3.20854,3.247,3.28525,3.32335,3.36134,3.39924,3.43684,3.47413,3.51111,3.54776,3.58408,3.62009,3.65583,3.69135,3.72666,3.76179,3.79654,3.83093,3.86494,3.89857,3.93182,3.9647,3.99721,4.02941,4.06133,4.093,4.12384,4.15388,4.18312,4.21158,4.23927,4.26622,4.29243,4.31791,4.34269,4.36679,4.39021,4.41297,4.43509,4.45657,4.47743,4.49765,4.51721,4.53611,4.55434,4.57191,4.58885,4.60518,4.62095,4.63619,4.6509,4.66506,4.67865,4.69163,4.70399
MAGICC7,07f66a56-2928-4a72-b1c4-cb91d4b4446e,GCAM4,0.5,,,World,SSP4-6.0,climate,not_relevant,W/m^2,Effective Radiative Forcing|N2O,0.13984,0.14351,0.14669,0.14925,0.1521,0.15587,0.1585,0.16065,0.16286,0.16509,0.16784,0.17069,0.1732,0.17645,0.17891,0.18194,0.18551,0.18848,0.19165,0.19536,0.19949,0.20206,0.2046,0.20713,0.20963,0.21212,0.2146,0.21714,0.21975,0.22241,0.22514,0.22793,0.23078,0.23369,0.23666,0.23968,0.24276,0.24586,0.24896,0.25208,0.2552,0.25834,0.26149,0.26464,0.26781,0.27098,0.27417,0.27735,0.28052,0.28369,0.28686,0.29002,0.29318,0.29634,0.29948,0.30263,0.30577,0.30889,0.31201,0.31512,0.31821,0.3213,0.32437,0.32744,0.33049,0.33354,0.33657,0.33958,0.34258,0.34557,0.34854,0.35149,0.35443,0.35736,0.36027,0.36316,0.36604,0.3689,0.37175,0.37458,0.37739,0.38018,0.38295,0.38571,0.38846,0.39118,0.39389,0.39659,0.39928,0.40196,0.40463,0.40729,0.40994,0.41258,0.41521,0.41783,0.42044,0.42305,0.42564,0.42823,0.43081,0.43339,0.43595,0.43851,0.44106,0.4436
