"","countrycode","FractionChangeGDP_perC","FractionChangeGDP_perC_se_adj"
"1","ARG",NA,NA
"2","ARM",NA,NA
"3","AUS",-0.0128761616524342,0.000281541823022679
"4","AUT",NA,NA
"5","AZE",NA,NA
"6","BDI",NA,NA
"7","BEL",NA,NA
"8","BEN",NA,NA
"9","BFA",NA,NA
"10","BGD",-2.2954056278093e-07,4.86881334775661e-09
"11","BGR",NA,NA
"12","BHR",-0.000354416631197043,4.47138655056733e-06
"13","BHS",-0.0571750610902853,0.000609808284775855
"14","BIH",NA,NA
"15","BLR",NA,NA
"16","BLZ",-0.008663789723206,9.01011448320748e-05
"17","BOL",NA,NA
"18","BRA",-2.98615146307063e-05,3.87155056429997e-07
"19","BRB",-0.00168760718941235,2.06095309839338e-05
"20","BRN",-0.00176564869918836,1.78721409473349e-05
"21","BTN",NA,NA
"22","BWA",NA,NA
"23","CAF",NA,NA
"24","CAN",NA,NA
"25","CHE",NA,NA
"26","CHL",NA,NA
"27","CHN",-3.97519498834121e-06,5.95791267798688e-08
"28","CIV",NA,NA
"29","CMR",NA,NA
"30","COD",NA,NA
"31","COG",NA,NA
"32","COL",-0.000121550297859712,1.59685491557638e-06
"33","COM",-0.00138417297956584,3.22407133973716e-05
"34","CPV",NA,NA
"35","CRI",-0.000160111488121695,2.25526329759065e-06
"36","CUB",-0.00244354641147594,3.15731609951606e-05
"37","CYP",NA,NA
"38","CZE",NA,NA
"39","DEU",NA,NA
"40","DJI",-0.00443517323006966,8.55769146147977e-05
"41","DNK",NA,NA
"42","DOM",-0.000237297376818066,2.93174957492342e-06
"43","DZA",NA,NA
"44","ECU",-3.69170723640179e-05,5.09857940499627e-07
"45","EGY",-0.000109336854660932,1.53150081922385e-06
"46","ERI",-0.000536667148770506,1.46954126745333e-05
"47","ESP",NA,NA
"48","EST",NA,NA
"49","ETH",NA,NA
"50","FIN",NA,NA
"51","FJI",-0.0284974087174076,0.000404168975885245
"52","FRA",-0.00122329972337955,2.65860801959919e-05
"53","GAB",NA,NA
"54","GBR",-0.000226157175791557,4.5231619168224e-06
"55","GEO",NA,NA
"56","GHA",NA,NA
"57","GIN",NA,NA
"58","GMB",NA,NA
"59","GNB",NA,NA
"60","GNQ",NA,NA
