"","countrycode","sum_area_km2","DamCoef_changeperC","DamCoef_changeperC_se","CoralArea_2020_km2","gdp","gamma_um","gamma_um_se","gamma_unm","gamma_unm_se","gamma_nu","gamma_nu_se","GDP_asPercentage","adjustment_factor_um","adjustment_factor_unm","adjustment_factor_nu","muV_value_perkm2year","nuV_value_perkm2year","nV_value_perkm2year","muV_value_perkm2year_se","nuV_value_perkm2year_se","nV_value_perkm2year_se","units"
"1","ARE",143.652500009228,-0.0886418589304036,0.00414951667655723,58.1749970012946,40776.6308681689,0.129,0.062,0.222,0.058,0.243,0.068,3.18708970833318,1.28213457237498,0.707533915249966,0.774462799124963,2473109.3766541,2560282.22572353,2293184.34820901,2792873.73900442,3623847.20712728,4378502.88113289,"Int2020$_perkm2_peryear"
"2","ATG",55.0754319212231,-0.0987397441803378,0.00767138357622312,9.6703278988381,14935.6150238496,0.129,0.062,0.222,0.058,0.243,0.068,1.16736336270724,1.02158987378923,0.259154666521007,0.283669297137859,1970544.70755205,937777.076272917,839944.788825201,2225329.22207509,1327338.37098729,1603752.7382986,"Int2020$_perkm2_peryear"
"3","AUS",31864.9868325952,-0.081956845252947,0.00408678897641663,13824.6811989527,58132.798523626,0.129,0.062,0.222,0.058,0.243,0.068,4.54364276661915,1.45712991689387,1.00868869418945,1.10410519228845,2810657.89669659,3650040.90879395,3269255.47436611,3174066.09796992,5166301.75389953,6242169.115122,"Int2020$_perkm2_peryear"
"4","BGD",4.5437721270702,-0.0946541461883918,0.00886394561272252,2.07498927136206,1604.6659234742,0.129,0.062,0.222,0.058,0.243,0.068,0.125420225779611,0.88717920912557,0.0278432901230735,0.0304771148644454,1711279.97648231,100753.729639354,90242.7371136227,1932542.47123823,142607.763352358,172305.416597628,"Int2020$_perkm2_peryear"
"5","BHR",137.866856083339,-0.0862529898002446,0.00544858087519538,39.2737246904403,23586.9309581516,0.129,0.062,0.222,0.058,0.243,0.068,1.84354772102009,1.10881765601159,0.40926759406646,0.447982096207882,2138798.37668076,1480975.71588889,1326474.98687154,2415337.50009005,2096186.76328959,2532711.57912088,"Int2020$_perkm2_peryear"
"6","BHS",2231.36079677298,-0.107073049114369,0.00833200011078777,315.059912878145,23879.3136835653,0.129,0.062,0.222,0.058,0.243,0.068,1.86640027051279,1.11176563489615,0.414340860053839,0.453535265734608,2144484.73315118,1499333.83619082,1342917.92184017,2421759.08249428,2122171.01702375,2564106.97835718,"Int2020$_perkm2_peryear"
"7","BLZ",573.697698345958,-0.105127678739199,0.00799855319742543,116.258540203578,5003.87784847193,0.129,0.062,0.222,0.058,0.243,0.068,0.391101649476158,0.921452112782424,0.086824566183707,0.0950377008227063,1777388.98034602,314183.375192362,281406.632136033,2007199.13727395,444698.06307971,537305.145371252,"Int2020$_perkm2_peryear"
"8","BRA",700.119774561186,-0.0979480423774026,0.00606562362941726,150.230333024774,8435.01143297182,0.129,0.062,0.222,0.058,0.243,0.068,0.659278060872919,0.956046869852607,0.146359729513788,0.160204568792119,1844118.80725869,529617.317218593,474365.728193465,2082556.89659993,749625.262623719,905732.550123125,"Int2020$_perkm2_peryear"
"9","BRB",31.3411993337518,-0.0921384943071787,0.0062038727804306,11.7557975732567,16166.6559507829,0.129,0.062,0.222,0.058,0.243,0.068,1.2635811665138,1.03400197048028,0.280515018966064,0.307050223462854,1994486.40085941,1015071.6476306,909175.71167351,2252366.49229719,1436741.82414039,1735939.14336959,"Int2020$_perkm2_peryear"
"10","BRN",63.0113794036597,-0.0817316864853831,0.00431440704328345,20.9806395594432,30015.9587299585,0.129,0.062,0.222,0.058,0.243,0.068,2.3460386774789,1.17363898939478,0.520820586400315,0.570087398627372,2263832.24664359,1884641.37394818,1688028.78733565,2556537.81059864,2667538.87942514,3223046.11687971,"Int2020$_perkm2_peryear"
"11","CHN",467.330172315878,-0.104209819139451,0.00958007322464619,144.55009728374,10358.1699971792,0.129,0.062,0.222,0.058,0.243,0.068,0.809591579596281,0.97543731376792,0.179729330670374,0.196730753841896,1881521.03452694,650368.555963817,582519.762125855,2124795.10058066,920537.685827524,1112236.98992055,"Int2020$_perkm2_peryear"
"12","COL",938.520249766705,-0.0972935407786789,0.00652671364225383,257.918372119666,5891.95523215403,0.129,0.062,0.222,0.058,0.243,0.068,0.460513521655773,0.930406244293595,0.102234001807582,0.111904785762353,1794660.60461791,369943.958940914,331350.070642326,2026703.92194474,523622.110458071,632664.896786037,"Int2020$_perkm2_peryear"
"13","COM",221.428542605552,-0.0722004081736072,0.001673059404117,113.496493082056,1359.7070894329,0.129,0.062,0.222,0.058,0.243,0.068,0.106274313959128,0.884709386500728,0.0235928976989264,0.0258246582920681,1706515.93562125,85373.2596133352,76466.8132028137,1927162.45661453,120838.103434361,146002.288120036,"Int2020$_perkm2_peryear"
"14","CRI",70.0815089779798,-0.10781206044181,0.00879966844362755,17.0192237242267,12242.2098908533,0.129,0.062,0.222,0.058,0.243,0.068,0.956847594312916,0.994433339666366,0.212420165937467,0.232513965418039,1918162.46888245,768663.61246132,688473.851602812,2166174.14379525,1087973.60589852,1314540.95488742,"Int2020$_perkm2_peryear"
"15","CUB",2699.79144512427,-0.0963288592899601,0.00575127124069972,622.46808090082,7252.31672155863,0.129,0.062,0.222,0.058,0.243,0.068,0.566838983327954,0.944122228849306,0.125838254298806,0.137741872948693,1821117.36722743,455358.307005659,407853.68580108,2056581.45110244,644518.370867624,778737.45290273,"Int2020$_perkm2_peryear"
"16","DJI",334.446321809132,-0.111496672471,0.0070700003518169,84.3047421151982,2776.54090852115,0.129,0.062,0.222,0.058,0.243,0.068,0.21701363663229,0.898994759125565,0.0481770273323683,0.0527343137016464,1734070.9908773,174333.391104908,156146.302870575,1958280.28380322,246753.098590924,298138.715943628,"Int2020$_perkm2_peryear"
"17","DMA",16.4167285746275,-0.0748449016826948,0.00325907699234053,3.33426361416486,6996.13658633828,0.129,0.062,0.222,0.058,0.243,0.068,0.546816017843635,0.941539266301829,0.121393155961287,0.132876292336003,1816135.0907696,439273.274161513,393446.701606906,2050954.98378527,621751.466202519,751229.406350828,"Int2020$_perkm2_peryear"
"18","DOM",351.679673213311,-0.096488673537325,0.00572821193757457,49.5466478143404,7565.84276444044,0.129,0.062,0.222,0.058,0.243,0.068,0.591344088416052,0.947283387405671,0.131278387628364,0.143696613485101,1827214.9259668,475043.973471996,425485.672529383,2063467.40278577,672381.645754952,812403.173999365,"Int2020$_perkm2_peryear"
"19","ECU",125.975925747853,-0.0663539585866936,0.00243900752017481,55.1266108409797,5355.68933100132,0.129,0.062,0.222,0.058,0.243,0.068,0.418599133485268,0.9249992882196,0.0929290076337294,0.10171958943692,1784231.12704679,336272.907023413,301191.70432272,2014925.94952875,475963.791298435,575081.870840571,"Int2020$_perkm2_peryear"
"20","EGY",2213.37565952113,-0.0853321430989726,0.0031853600735966,835.877314271743,3770.86947867421,0.129,0.062,0.222,0.058,0.243,0.068,0.29473007090274,0.909020179146453,0.0654300757404083,0.0716194072293658,1753409.02355559,236765.272074241,212065.064806152,1980118.65623472,335119.761927223,404907.480711943,"Int2020$_perkm2_peryear"
"21","ERI",1588.771815567,-0.100340307772804,0.00549872511043389,591.261138001154,566,0.129,0.062,0.222,0.058,0.243,0.068,0.0442383967608451,0.876706753182149,0.00982092408090761,0.0107499304128854,1691079.65621305,35537.9958791723,31830.5439525536,1909730.32045668,50300.8089575926,60775.8065822887,"Int2020$_perkm2_peryear"
"22","FJI",3396.64508000432,-0.0843222698892854,0.00458989007253475,1197.93722408756,4729.3813514501,0.129,0.062,0.222,0.058,0.243,0.068,0.369647082436027,0.918684473634248,0.082061652300798,0.0898242410319546,1772050.4811931,296948.295015668,265969.577695618,2001170.38891748,420303.370754227,507830.329098258,"Int2020$_perkm2_peryear"
