"","country_iso3","GDP_FractionChange_perC","GDP_FractionChange_perC_se","pval"
"1","ABW",-5.33523833599382e-05,1.39157112541633e-05,0.000270057165638952
"2","AGO",-1.57365746620759e-05,3.28619918572714e-05,0.633503657881179
"3","ALB",-8.63541480811094e-05,8.6225835995078e-06,3.22384755230966e-15
"4","ARE",-8.21982328511027e-06,3.41465356799925e-06,0.018676717889672
"5","ARG",-2.13202327031069e-05,2.30026164560557e-06,7.50156951254483e-14
"6","AUS",-0.000125515350439381,9.60337866059711e-06,1.42345444234284e-20
"7","AZE",0,0,NA
"8","BEL",-4.77680614142705e-07,2.24803566091558e-08,1.70935553247027e-32
"9","BEN",-3.58629113239151e-05,8.80514083086045e-06,0.000119191775509401
"10","BGD",-2.02812931047093e-06,8.26218911647297e-07,0.016552458429108
"11","BGR",-1.14182856806944e-05,8.48914904914272e-07,3.30786302798868e-21
"12","BHR",-6.83376031373558e-06,1.49372929713165e-06,1.97113965395822e-05
"13","BHS",-0.00303815512500574,0.000193898796249437,9.64141509194018e-25
"14","BLZ",-0.000532992236593484,7.64833883597246e-05,1.33989696967731e-09
"15","BRA",-5.52245235666861e-05,3.79372521493009e-06,5.27508196386872e-23
"16","BRB",-0.000278740157059692,3.36673102672274e-05,5.07443566607585e-12
"17","BRN",-0.000227060460134731,1.25202235781437e-05,2.32537863345844e-28
"18","CAN",7.15729322053613e-05,1.31869626812846e-05,7.53359911257418e-07
"19","CHL",-0.000622212201503927,4.12700574147735e-05,7.96612824494496e-24
"20","CHN",-1.33775896334463e-05,3.9096616672573e-07,7.38281874392527e-46
"21","CIV",-9.1809170334843e-05,1.47561725200168e-05,3.03102478928169e-08
"22","CMR",-8.93199097172187e-06,1.17335910194542e-05,0.449039211497532
"23","COD",-1.16369459372315e-07,1.02922102178999e-05,0.99101057545844
"24","COG",3.43855871524336e-05,3.37973886727425e-05,0.312415889658116
"25","COL",-2.08369299446084e-05,1.35257457803432e-06,2.45284956252948e-24
"26","COM",-2.89627681470601e-05,5.51005622969167e-06,1.47712832942834e-06
"27","CPV",-0.00209848827796483,0.000122557974299549,6.50907632151886e-27
"28","CRI",-0.000351261651896194,2.74929022086324e-05,4.44127644382532e-20
"29","CUB",-0.000118300367811643,3.3528003780523e-05,0.000737770569288527
"30","CYP",-0.000120082462035308,7.05612737334575e-06,9.23446707664523e-27
"31","DEU",-1.07695749585779e-06,5.29076526040936e-08,2.36074114500319e-31
"32","DJI",-0.000118118504923223,1.15200480538656e-05,1.18981076014977e-15
"33","DNK",-1.53335844832007e-05,1.47189579791923e-06,6.00384682899168e-16
"34","DOM",-2.17440304029379e-05,2.6113162524424e-06,4.14110062347524e-12
"35","DZA",-1.95638605535728e-05,3.02487710775531e-06,1.09442887805494e-08
"36","ECU",-1.89236190766388e-05,2.4240647609101e-06,3.8181405234214e-11
"37","EGY",-4.01608524858356e-06,1.19779467631564e-06,0.00128521871538517
"38","ERI",-0.000293463887795208,5.13766326337231e-05,2.4209194883362e-07
"39","ESP",-1.94679933390786e-05,8.43429308459453e-07,9.99369051445862e-35
"40","EST",4.98503130810699e-05,2.088057971753e-05,0.019633036892373
"41","FIN",6.79264845210963e-05,1.19370245547936e-05,2.64071940113236e-07
"42","FJI",0.000432316027277574,7.2335223251866e-05,8.28640987442442e-08
"43","FRA",-4.48215268248485e-06,2.10906191997097e-07,1.69420220438902e-32
"44","GAB",1.39123680853801e-05,0.000259776593412949,0.957440015233138
"45","GBR",3.09918245135848e-07,9.20482207631361e-07,0.737342880807644
"46","GEO",-8.33011563103319e-06,1.07671357913029e-06,5.1454413882777e-11
"47","GHA",-9.9542156191914e-05,1.68810845845699e-05,1.14720754770501e-07
"48","GIN",-0.000215663119465163,6.58572551464697e-05,0.00163679532131244
"49","GMB",-0.000111628729274749,2.21886924723691e-05,3.53983447787601e-06
"50","GNB",-0.00162572411422998,0.00025249018930234,1.23415744116888e-08
"51","GNQ",-2.07031080039831e-05,6.2688573780499e-05,0.74218109724761
"52","GRC",-8.73111302656089e-05,2.97960465425208e-06,2.16612659224183e-41
"53","GRD",-0.000537053693378626,6.90298039740334e-05,4.27578071791099e-11
"54","GTM",-3.4101901775958e-05,6.85288228743527e-06,4.36401322462304e-06
"55","GUY",-0.000668106758732977,7.46474898277192e-05,2.90205537678216e-13
"56","HND",-0.000103081179461416,8.81606347073613e-06,3.25306256633004e-18
"57","HRV",-4.52624550698988e-05,4.33246958659153e-06,5.30707455852588e-16
"58","HTI",-6.06858929099201e-05,4.52859489554969e-06,4.00054205804231e-21
"59","IDN",-8.8566250594654e-05,9.73310156564098e-06,1.53791196410708e-13
"60","IND",-7.54009215394215e-07,7.2049932721862e-08,4.92834600050964e-16
"61","IRL",2.95281069467858e-05,9.18225140497364e-06,0.00195945843790437
"62","IRN",-1.57333056334949e-05,2.13538096443197e-06,2.47189337538522e-10
"63","IRQ",1.65776918705104e-07,8.78148251690964e-08,0.0631395348824763
"64","ISL",0.000505079326447472,5.15854630408314e-05,8.2498292479971e-15
"65","ISR",-1.22824804423148e-06,3.09490740859088e-07,0.000170907045334367
"66","ITA",-2.24826817076867e-05,1.05166956952974e-06,1.17687121927364e-32
"67","JAM",-0.000366611919155081,1.73938356287987e-05,2.81330551601485e-32
"68","JPN",-0.000128170270937311,3.06609707638818e-06,9.62782818996898e-52
"69","KAZ",0,0,NA
"70","KEN",-2.69938314339548e-07,1.33035064080363e-07,0.0462010459248862
"71","KHM",-4.26926342966001e-05,4.42060633310831e-06,1.44749958712648e-14
"72","KOR",-9.26031147015268e-05,3.68627527138995e-06,4.68266153601504e-37
"73","KWT",1.17276771920647e-05,3.55739445886961e-06,0.00152968098280795
"74","LBN",-8.86060813044165e-06,8.61080131606181e-07,1.02053768232373e-15
"75","LBR",-0.000421862048566907,0.000219287232251341,0.0583905996249554
"76","LBY",-0.000113366726932393,7.64569685258654e-06,1.96239190450063e-23
"77","LCA",-0.000203883235997725,2.55178171856905e-05,1.74642672284845e-11
"78","LKA",-1.70691689527352e-05,1.96461655240062e-06,8.85470318711326e-13
"79","LTU",-2.0223470504174e-06,3.43052530515384e-07,1.15429455606711e-07
"80","LVA",-5.68692215872288e-06,4.02374673332303e-06,0.161925131585176
"81","MAR",-3.0877279073548e-05,2.3950381506494e-06,2.83180218356343e-20
"82","MDG",-1.69687752940702e-05,1.75445819495832e-05,0.33673694014511
"83","MDV",-0.00275317326371008,0.000457683820329914,7.0698876849408e-08
"84","MEX",-7.09222113625371e-05,7.59726224977889e-06,5.65605114318428e-14
"85","MLT",-0.000532578921867062,2.71646754973599e-05,2.2800717171149e-30
"86","MMR",-8.46133132261695e-05,6.04780380875021e-06,4.29864903409724e-22
"87","MNE",-0.000145030179275703,1.23898141680124e-05,3.08514551070562e-18
"88","MOZ",-3.41004959698128e-06,1.50547976979955e-06,0.0265601603030224
"89","MRT",-0.000238601681011517,4.59838650281975e-05,1.92217977947294e-06
"90","MUS",6.52862123462644e-05,7.91932613348109e-06,5.90118272965405e-12
