"","ISO3","HealthBenefit_PercentageGDP_intercept","HealthBenefit_PercentageGDP_intercept_se","HealthBenefit_PercentageGDP_perDegreeC","HealthBenefit_PercentageGDP_perDegreeC_se"
"1","ARG",0.413521749795885,0.0435054297044762,-0.0121251078096556,1.14538148761985e-17
"2","AUS",0.950175853387777,0.101543820155585,-0.0270598202780086,8.566535807535e-17
"3","BEL",1.05260923681091,0.113059779762151,-0.030937429316965,8.46485929325638e-17
"4","BEN",3.40530123880265,0.34289163332767,-0.253869427549399,1.72480631178115e-16
"5","BGD",1.43449768087896,0.15130433994757,-0.0957516726541024,3.94883722409487e-17
"6","BGR",2.71725499100264,0.3066694596661,-0.0698872920917091,1.46385874339135e-16
"7","BHS",2.881681994873,0.299313830979849,-0.0843601466850739,1.9911118463384e-16
"8","BLZ",1.64020473133211,0.163294730261388,-0.114100342136033,6.10561439406264e-17
"9","BRA",0.268587842213542,0.0284540843313688,-0.00802441430920468,1.47509106765404e-17
"10","BRB",6.72313380581334,0.726132030309332,-0.191569460382167,4.01197759147447e-16
"11","BRN",1.32745195209811,0.138277944888155,-0.0378734652721413,1.41441740133927e-16
"12","CAN",1.36013129729401,0.143993141599187,-0.0391457999254647,6.28214626481591e-17
"13","CHL",1.28173387915543,0.135460149218371,-0.0385191661004585,9.95691172381628e-17
"14","CHN",2.87438574520795,0.330053515160978,-0.0756126776056141,1.11709271645377e-16
"15","CMR",6.76978711970764,0.679882978321974,-0.49630876561296,3.1012518514338e-16
"16","COG",2.79011540235064,0.276161700665683,-0.195285503897818,6.46344188283229e-17
"17","COL",0.406845363758431,0.0414644393148502,-0.0278221274079237,2.1115168070748e-17
"18","CPV",1.52236444081846,0.158544225895111,-0.10204504994182,4.92324223739586e-17
"19","CRI",0.501329966003368,0.0519125739831104,-0.0149417430437944,1.11121890171329e-17
"20","CUB",0.859624396958354,0.0915012635476586,-0.0245073295793874,9.97096676663552e-17
"21","CYP",1.71519155193414,0.186132219096009,-0.0467931614946057,5.31466982956179e-17
"22","DEU",0.640900922811779,0.068762152921445,-0.0175594722043988,3.90373753235612e-17
"23","DJI",0.53477052191364,0.0541481806985432,-0.0383366098978436,3.05104231340526e-17
"24","DNK",2.47443973939635,0.265453028862367,-0.0732816656995394,1.65689025619275e-16
"25","DOM",1.04531691325184,0.110709809587341,-0.0282803064641081,3.34997603592927e-17
"26","DZA",0.839020398567085,0.086393594454203,-0.0552732155901978,7.77290407011802e-17
"27","ECU",0.596328187835829,0.0601016211280763,-0.0415779485502638,1.92626112484956e-17
"28","EGY",1.52234132696718,0.160787292260949,-0.0992392088669534,8.02285421406372e-17
"29","ESP",2.78199354649274,0.296010114790085,-0.0802339785093,1.35295139711392e-16
"30","EST",1.57565460394292,0.169027453032534,-0.0407719397031059,6.35418327130644e-17
"31","FIN",2.820733465372,0.311059098946694,-0.0739833462456896,1.2748990087488e-16
"32","FJI",9.73324905926936,0.984116754073222,-0.651991611346574,2.33896325055957e-16
