"","ISO3","HealthBenefit_PercentageGDP_intercept","HealthBenefit_PercentageGDP_intercept_se","HealthBenefit_PercentageGDP_perDegreeC","HealthBenefit_PercentageGDP_perDegreeC_se"
"1","ARG",0.377445354588658,0.0405539531681758,-0.00309323158877838,0.001500778532319
"2","AUS",0.284063812443177,0.0368831698130518,0.0472241193524468,0.00421156038654266
"3","BEL",0.323183885091603,0.0393702166803895,0.0273608550851149,0.00438693842864395
"4","BEN",34.8158840592261,3.20374047597681,-9.23493871377048,0.530848200010351
"5","BGD",10.0586973699246,0.96578920885605,-2.43500367469878,0.140971108114095
"6","BGR",2.77973430194313,0.332648179954728,0.100037602602263,0.0162451627659548
"7","BHS",1.41307986995528,0.16090777123782,0.0953411138235141,0.0107113545728491
"8","BLZ",2.40020470492422,0.240732040627177,-0.1769275734387,0.0172419238604981
"9","BRA",0.325662990274117,0.0334160524423369,-0.024037341392968,0.00166396982434603
"10","BRB",6.32015981429413,0.756119556510662,0.426695476952537,0.0712768406933869
"11","BRN",1.15890705258177,0.146131336535922,0.160842895392316,0.0216336651609168
"12","CAN",0.525840982712606,0.0648918144769312,0.0624989791725853,0.00720471402469412
"13","CHL",1.3525598659518,0.146915284452427,-0.00157701379804019,0.00521202925088103
"14","CHN",2.39394858700424,0.268316587621498,-0.188583340757154,0.0245371184103324
"15","CMR",40.1798330024667,3.74600572845014,-9.91287489706906,0.637058907662025
"16","COG",9.27664145868174,0.832629560565003,-2.26524722550699,0.118884923677538
"17","COL",0.623545992513583,0.0620341225888683,-0.0635635371062956,0.00279725076111494
"18","CPV",4.29341286190905,0.437366889432289,-0.520058774746889,0.0448068638765425
"19","CRI",0.627019033771237,0.0683733986840942,0.00853216344200407,0.00564137494032337
"20","CUB",0.786511254806361,0.0862698932180086,0.00269757164953579,0.00300947390768584
"21","CYP",0.93341984097658,0.108110103784063,0.0365348315821192,0.00647163161916676
"22","DEU",0.346125620338945,0.0425992615327632,0.0347677892537322,0.0047339898966943
"23","DJI",3.96560857968804,0.387605470540193,-0.741948083017202,0.0628533139481999
"24","DNK",1.2701567341177,0.157788212407204,0.140171000936088,0.0173524181514661
"25","DOM",1.28634001188042,0.139325494094596,-0.0071985843521182,0.00597754916912178
"26","DZA",1.70740266953979,0.1653460308091,-0.259048468392314,0.0119554400340996
"27","ECU",1.02916630766714,0.10173028076736,-0.108213063041981,0.00711278471041502
"28","EGY",3.1901151784816,0.314230400832595,-0.495888826432577,0.0173161519616431
"29","ESP",1.15179209764894,0.13337290015698,0.0573803230005523,0.0117171886918671
"30","EST",1.26163303245838,0.145562159295167,0.0484975799316649,0.0128864970932587
"31","FIN",1.21938262175464,0.153446141187244,0.120392087797684,0.0158468123788915
"32","FJI",18.3306110562078,1.69115362523218,-3.66739431049262,0.162216361878355
"33","FRA",0.476247169075658,0.0561972059557935,0.0293369603948301,0.00574330158967336
"34","GAB",5.30541966427621,0.544783139549861,-0.355643222237945,0.068413468475503
"35","GBR",0.341726301348383,0.0399725219402544,0.0199431297555777,0.00395700617030558
"36","GEO",3.18045018270756,0.342388752579732,-0.390864657778784,0.0428049097165306
"37","GHA",70.0213069757576,6.53644698630094,-19.4441685314079,1.11552984595418
"38","GIN",58.4439420492981,5.70519252341871,-15.888971744786,1.36083252037962
"39","GMB",33.1621877713533,3.01756015587514,-7.19249572653923,0.477067603723923
"40","GNB",4.06372836672402,0.370796243590116,-1.13159344256997,0.0739381333513937
