"","countrycode","GDPDam_perC","GDPDam_perC_se_adj","GDPDam_perC_sq","GDPDam_perC_sq_se_adj","cov_t_t2_adj"
"1","ABW",NA,NA,NA,NA,NA
"2","AGO",0,NA,0,NA,NA
"3","AIA",NA,NA,NA,NA,NA
"4","ARE",0,NA,0,NA,NA
"5","ASM",-5.27023089301364e-11,7.42940880750563e-13,5.60002416364199e-12,3.72212083184624e-13,-2.16022865813501e-26
"6","AUS",-1.01781979414421e-05,3.10294019888775e-07,-2.41277743100493e-06,1.55456761816434e-07,-2.45571854674689e-14
"7","BEN",-2.89595005382722e-05,7.56683481145151e-07,5.93658034481787e-06,3.79097101971147e-07,-1.02517513167722e-13
"8","BGD",-0.000147228895669547,2.97069118157102e-06,2.08299682241874e-05,1.48831109155505e-06,-7.23047932336059e-13
"9","BHS",-2.57396867652534e-05,6.74865463873108e-07,-2.38900402661875e-06,3.38106418270855e-07,-1.10856827818659e-13
"10","BLZ",-0.000245076990152478,5.84196070423461e-06,-2.09170816267357e-05,2.92681210570768e-06,-1.01668104156543e-11
"11","BMU",NA,NA,NA,NA,NA
"12","BRA",-1.03146525855359e-05,1.69872596291339e-07,-1.40083262037039e-06,8.51058739393941e-08,-7.6051713313448e-15
"13","BRB",NA,NA,NA,NA,NA
"14","BRN",-2.84564065975302e-05,5.54710043235703e-07,4.7461146216721e-06,2.77908762467891e-07,-1.33542294935091e-13
"15","CHN",-2.45054673505323e-07,1.0756122291498e-08,-4.52038020846463e-08,5.38879847486976e-09,-8.51917289090721e-18
"16","CIV",-6.39660065990104e-06,7.73310366786629e-08,7.68972461279194e-07,3.87427142626918e-08,-4.87773058174401e-16
"17","CMR",-1.52929180973779e-05,1.94846845712078e-06,6.97183140109346e-06,9.76179292640045e-07,-3.03578466583976e-13
"18","COG",-2.05874582046597e-06,5.06937176466499e-08,-1.79115786407009e-07,2.53974639685601e-08,-9.55387510669892e-16
"19","COK",NA,NA,NA,NA,NA
"20","COL",-7.22262984881647e-06,2.13832626385264e-07,-9.46434999661992e-07,1.07129772209184e-07,-1.25727849033555e-14
"21","COM",-6.39479137391813e-06,1.89134777409835e-07,2.20405831800412e-06,9.47561930247453e-08,-1.18228212084714e-14
"22","CRI",-1.89875943011092e-05,8.68706896925352e-07,9.37001717876913e-07,4.35220637548946e-07,-5.12877606821309e-14
"23","CUB",-6.57314789835628e-05,2.23603860652561e-06,-2.41778848008358e-05,1.12025143504732e-06,-2.81779876402228e-13
"24","CUW",-6.20436930434133e-09,1.30278394057382e-10,2.68301711219862e-10,6.52692477994436e-11,-2.18333630191138e-21
"25","CYM",-9.35307385777953e-10,1.55001603419417e-11,7.50916129516382e-11,7.7655532493262e-12,-6.98799085410167e-23
"26","DJI",-8.49187521352537e-05,8.6290624479362e-07,1.38308582553411e-05,4.32314520965888e-07,-1.27988852681265e-13
"27","DOM",-1.02843410952698e-05,2.5051619399851e-07,-6.12843950665409e-07,1.25508175489639e-07,-9.42389951690572e-15
"28","ECU",3.99089177099756e-05,4.23013969075868e-06,-2.78061998621155e-05,2.11929259414098e-06,-6.17044345635995e-13
"29","EGY",-2.955220441552e-08,7.41457785524929e-10,-2.48295548741775e-09,3.71469055067855e-10,-1.12252018335487e-19
"30","ERI",-5.80639183741887e-05,1.16898081102821e-06,6.36612031069501e-06,5.85657343873831e-07,-4.29559290103427e-13
"31","FJI",-0.000357764017063441,1.21658861699413e-05,4.83632888771967e-05,6.09508771482074e-06,-1.72268170511245e-11
"32","FSM",0,NA,0,NA,NA
"33","GAB",-0.000244040039955051,5.65031689171932e-06,8.57926552559095e-05,2.83079889047891e-06,-7.28432568961389e-12
"34","GHA",-4.52205266428749e-05,9.99429067699448e-07,7.82635543680126e-06,5.00712216708094e-07,-1.62436098110003e-13
"35","GIN",-0.00155962888861097,1.63683650376895e-05,0.000359012435297695,8.20052228496263e-06,-2.44993933168883e-11
"36","GNB",-0.00343755107514783,3.77629011507349e-05,0.000605605589729187,1.8919147496918e-05,-2.6483971989768e-10
"37","GNQ",-1.12679528201413e-06,4.38371751521678e-08,2.06668598177544e-07,2.19623481586226e-08,-1.64710634941345e-16
"38","GRD",-1.05640970173162e-07,1.67627145902163e-09,2.96909294531334e-08,8.39809072176832e-10,-1.28917184085035e-18
"39","GTM",-7.93492186785115e-05,1.48622231817674e-06,9.53949892359239e-06,7.44594784668706e-07,-4.1063571189437e-13
"40","GUF",-1.34621134409077e-07,1.75482215519385e-09,5.66246121433535e-09,8.791628337148e-10,-6.69249752233664e-19
"41","GUM",-1.33345614629489e-10,2.74675034101039e-12,8.41404537606197e-12,1.37611712170515e-12,-8.14589466628521e-25
"42","GUY",-2.59541829137095e-05,3.19166181521575e-07,2.11362670684497e-06,1.59901699292965e-07,-2.88939427701918e-14
"43","HND",-9.41948334731718e-05,2.31469072667056e-06,3.5326146112173e-06,1.15965600981842e-06,-5.98735226375726e-13
"44","HTI",-2.26231000726833e-05,3.58373306123031e-07,2.329433739021e-06,1.79544400215338e-07,-3.18792284150287e-14
"45","IDN",-2.9414498969806e-05,6.46202547020728e-07,3.8195400006225e-06,3.23746347007858e-07,-9.58335947442641e-14
"46","IND",-6.07452339791221e-06,1.64041424243874e-07,2.85600735041093e-08,8.21844669318778e-08,-4.6467295690357e-15
"47","IRN",-8.97372839389623e-07,2.12485140491767e-08,-1.3474158101187e-07,1.06454684130879e-08,-1.07626329265844e-16
"48","JAM",-1.35202967674177e-05,2.77949676748458e-07,-5.99521404966454e-07,1.39252302415394e-07,-2.22408265159203e-14
"49","JPN",-2.62804574807727e-09,6.10321406261765e-11,-3.56432695452738e-10,3.05769958179393e-11,-5.49033906944473e-22
"50","KEN",-1.23583392519474e-05,3.20644284098208e-07,1.42952937461493e-06,1.60642226101307e-07,-2.76663780430762e-14
"51","KHM",-3.36393370903879e-05,9.44525343793692e-07,-1.23752895781872e-06,4.73205546959474e-07,-8.30977801701499e-14
"52","LAO",NA,NA,NA,NA,NA
"53","LBR",-3.3322435287343e-05,4.33341121019711e-07,4.11521593500833e-06,2.17103144494293e-07,-5.62275244398778e-14
"54","LCA",-4.23976610847111e-06,1.08978046955782e-07,1.11296796160265e-06,5.45978111176549e-08,-3.13853745164014e-15
"55","LKA",-1.33463952316889e-05,1.8211381734468e-07,1.91637689032692e-06,9.12387042991728e-08,-1.18432431225147e-14
"56","MDG",-0.000204333777942808,2.22879318490187e-06,2.12958606030327e-05,1.11662149147308e-06,-6.28093496422554e-13
"57","MDV",NA,NA,NA,NA,NA
"58","MEX",-0.000221918988536248,2.77103993757157e-06,1.47531969982433e-05,1.38828616714335e-06,-1.82727446234386e-12
"59","MMR",-1.17583933491242e-06,1.69389274875324e-08,1.14497153660308e-07,8.48637307544331e-09,-3.07173258719023e-17
"60","MOZ",-0.000269878339966026,3.02316024751595e-06,2.86216247359701e-05,1.51459800191915e-06,-1.78848096618526e-12
"61","MRT",-2.88645205113374e-09,4.63140708594524e-11,3.79417634842043e-10,2.3203268580323e-11,-5.08676170097851e-22
"62","MTQ",-1.24693925762199e-08,2.62674250998467e-10,1.49988341805979e-09,1.31599340803977e-10,-2.40495336685733e-20
"63","MUS",-2.82971205383283e-06,6.28578688837018e-08,1.708745378994e-07,3.14916824850345e-08,-6.73190696203882e-16
"64","MYS",-0.000142921477116192,2.63059365995317e-06,1.16293120347362e-05,1.31792282744523e-06,-2.42859625240032e-12
"65","MYT",-7.65664311299924e-09,1.18548714206195e-10,8.21268818122803e-10,5.93926986881764e-11,-2.94113654335864e-21
