"","countrycode","year","unit_benefit","use_market_perkm2","use_nonmarket_perkm2","nonuse_perkm2"
"1","ABW",2030,"Int2020$_perkm2_peryear",0,0,0
"2","ABW",2035,"Int2020$_perkm2_peryear",0,0,0
"3","ABW",2040,"Int2020$_perkm2_peryear",0,0,0
"4","ABW",2045,"Int2020$_perkm2_peryear",0,0,0
"5","ABW",2050,"Int2020$_perkm2_peryear",0,0,0
"6","ABW",2055,"Int2020$_perkm2_peryear",0,0,0
"7","ABW",2060,"Int2020$_perkm2_peryear",0,0,0
"8","ABW",2065,"Int2020$_perkm2_peryear",0,0,0
"9","ABW",2070,"Int2020$_perkm2_peryear",0,0,0
"10","ABW",2075,"Int2020$_perkm2_peryear",0,0,0
"11","ABW",2080,"Int2020$_perkm2_peryear",0,0,0
"12","ABW",2085,"Int2020$_perkm2_peryear",0,0,0
"13","ABW",2090,"Int2020$_perkm2_peryear",0,0,0
"14","ABW",2095,"Int2020$_perkm2_peryear",0,0,0
"15","ABW",2100,"Int2020$_perkm2_peryear",0,0,0
"16","AGO",2026,"Int2020$_perkm2_peryear",3091449.14317992,167224.830903075,45378.6968084573
"17","AGO",2027,"Int2020$_perkm2_peryear",3129361.3381591,168098.576543132,45470.5282448917
"18","AGO",2028,"Int2020$_perkm2_peryear",3167759.00316878,168977.468926668,45564.7338378328
"19","AGO",2029,"Int2020$_perkm2_peryear",3206648.59926448,169861.540536136,45661.3455625586
"20","AGO",2030,"Int2020$_perkm2_peryear",3246036.6762895,170750.824066292,45760.3958598758
"21","AGO",2031,"Int2020$_perkm2_peryear",3279309.59435777,171423.514831901,45501.7850235346
"22","AGO",2032,"Int2020$_perkm2_peryear",3312978.29218892,172100.183349956,45249.0241478544
"23","AGO",2033,"Int2020$_perkm2_peryear",3347047.98545666,172780.854469363,45002.0803412905
"24","AGO",2034,"Int2020$_perkm2_peryear",3381523.96284656,173465.553197474,44760.9214991762
"25","AGO",2035,"Int2020$_perkm2_peryear",3416411.5871139,174154.30470112,44525.5162999348
"26","AGO",2036,"Int2020$_perkm2_peryear",3469588.52077783,175508.84591785,44942.612830803
"27","AGO",2037,"Int2020$_perkm2_peryear",3523651.85623459,176875.281048962,45368.7040971128
"28","AGO",2038,"Int2020$_perkm2_peryear",3578617.22266184,178253.721670606,45804.0225125279
