"","countrycode","beta_nutrient_percChange_perDegreeC","beta_nutrient_percChange_perDegreeC_se","TAME_nutrients_MortalityEffect","TAME_nutrients_MortalityEffect_se","Nutritional_D"
"1","ARG",-2.93215721195814,0.0599299462789613,0.00201482386243984,0.000120748285837589,0.023835104
"2","AUS",-2.84787496772606,0.0593920969939119,0.00172998962095424,0.000102747711366175,0.063784664
"3","BEL",-2.93911816798204,0.0609274533104811,0.00228479364273988,0.000139206657992118,0.053502734
"4","BEN",-7.45512393020081,0.0966171309571831,0.00157937831395634,0.000152595001390455,0.250394708
"5","BGD",-6.67492697481618,0.105718528347891,0.00194192948738742,0.000205297927561973,0.085787137
"6","BGR",-2.57198136807619,0.0598250854754126,0.00867566770802883,0.000519022562189102,0.036373347
"7","BHR",-2.89776648452564,0.0591793669698972,0.000783985342055678,4.63957562565334e-05,NA
"8","BHS",-2.92746204595679,0.0597601363217502,0.0022376040407157,0.000133719522507269,0.149561081
"9","BLZ",-6.95646951605645,0.0993483521634427,0.00136481181748965,0.00013559180508079,0.139566461
"10","BRA",-2.98763125057056,0.0612409822532813,0.00184751536808538,0.000113143655869581,0.016883173
"11","BRB",-2.84940722459708,0.0599869630450974,0.00304639017037122,0.000182743694571006,0.256296107
"12","BRN",-2.85309499995705,0.0578981961200895,0.0010322817485578,5.97672511291883e-05,0.149340067
"13","CAN",-2.87808978466612,0.0594742168552169,0.00202402478006923,0.00012037728869017,0.078040634
"14","CHL",-3.00523897564768,0.0613727066831269,0.00153227579860808,9.4039913145628e-05,0.097144161
"15","CHN",-2.63056820858767,0.0610100112245666,0.00290878107862873,0.000177464766256946,0.114759803
"16","CMR",-7.33123149719364,0.0984526781202497,0.00193020508286302,0.000190033859729182,0.407312124
"17","COD",-7.19380024053119,0.0985228548642058,0.00146729542724958,0.000144562134421823,NA
"18","COG",-6.99919091996311,0.0986572270057377,0.00187046756095355,0.000184535142767863,0.173231859
"19","COL",-6.83850177150938,0.102090766734753,0.00155005443514939,0.000158246245765006,0.030481631
"20","COM",-7.0929293006312,0.0978627599306919,0.00130880235750841,0.00012808301090957,NA
"21","CPV",-6.70306315660917,0.10445271378072,0.00194076920642765,0.000202718610433422,0.091096254
"22","CRI",-2.98042089183517,0.0598954147468538,0.00126585526408084,7.58189260516102e-05,0.045993387
"23","CUB",-2.85093462518096,0.0597217135468617,0.00373745278518023,0.000223207084631454,0.026710917
"24","CYP",-2.72815951325315,0.0590118943523964,0.00217614479955704,0.000128418427006977,0.091533616
"25","DEU",-2.7398107225937,0.0586070806599242,0.00358291375762466,0.00020998411559066,0.020773531
"26","DJI",-7.1687963952574,0.100614008292025,0.00159013655446236,0.000159990012476127,0.039056095
"27","DNK",-2.96154578075985,0.0610562326436647,0.00221846766446914,0.000135451277834275,0.129532742
"28","DOM",-2.70542895705499,0.0571979794833448,0.00208757260281401,0.000119404934905748,0.058151667
"29","DZA",-6.58782738591302,0.103399797551701,0.00221474889702029,0.000229004587579752,0.043995049
"30","ECU",-6.97232654742637,0.100661615785,0.00153538889686331,0.000154554727216609,0.045104796
"31","EGY",-6.51885402498136,0.106287526513693,0.00259684528477686,0.000276012262057679,0.068080344
"32","ERI",-7.20934219279886,0.100266211719484,0.00129141604934465,0.00012948539502153,NA
"33","ESP",-2.8840461765432,0.0596733053948654,0.00225430923238757,0.000134522083278728,0.143317231
"34","EST",-2.5876191140545,0.0574118977914515,0.00489171580861811,0.000280842688029211,0.037407233
"35","FIN",-2.62284073110507,0.0588362481501707,0.00350122461398929,0.00020599892021816,0.093561647
"36","FJI",-6.69860195065756,0.1011490809832,0.00303920734699251,0.000307413030065683,0.371923214
"37","FRA",-2.94290015686444,0.0605018303797318,0.00223508110608103,0.000135226497965058,0.067849445
"38","GAB",-7.00259660450394,0.0986634134738802,0.00181060921277945,0.000178640885400076,0.214625689
"39","GBR",-2.92735500416101,0.0601997412202338,0.00243241959584075,0.000146431030208639,0.049737635
"40","GEO",-2.6774889860051,0.0605180638341264,0.00453743724092953,0.000274596916589916,0.083114202
"41","GHA",-7.05103158237628,0.102603879267257,0.0016554678669875,0.000169857425155209,0.614381039
"42","GIN",-7.29959811508448,0.0979853959964617,0.00192773746568999,0.000188890118952849,0.267393815
"43","GMB",-7.10718148601338,0.0959656684283894,0.00170897093738831,0.00016400253833116,0.392922439
"44","GNB",-7.23613107852557,0.0964630172059846,0.00193746004995808,0.000186893242135014,0.022212144
"45","GNQ",-3.25109141170106,0.0632497388284879,0.0020288735934372,0.000128325724900919,NA
"46","GRC",-2.7357554968224,0.0599739393291696,0.00368086776334632,0.000220756139917629,0.056875879
"47","GRD",-2.931234704905,0.0602359515181224,0.00233730174122255,0.000140789594367505,0.216705034
"48","GTM",-7.14585473241702,0.101933659185794,0.00113527923736425,0.000115723166862196,0.015195079
"49","GUY",-6.80445112877914,0.101319866761334,0.00272847037492215,0.000276448254849359,0.275721734
"50","HND",-6.79548025323515,0.102782412552959,0.00195034352370404,0.000200461012673341,0.017037822
"51","HRV",-2.65525154251271,0.0591764745386228,0.00476766907339418,0.00028213384753029,0.11615004
"52","HTI",-6.92336822867356,0.100323012849863,0.0026633237832503,0.000267192666130366,0.151824939
