"","iso3","GDP_FractionChange_perC","GDP_FractionChange_perC_se","pval"
"1","ABW",-0.0654074499772445,0.00527515976378477,1.67991572409235e-05
"2","AGO",-0.00667054448962422,0.000681246394599325,6.52993798407765e-05
"3","ALB",-0.000471631161899965,1.845357062115e-05,2.3645369835641e-07
"4","ARE",-0.00297437084793528,0.000260518366265506,2.70789110713479e-05
"5","ARG",-0.000994551209915253,7.61254784337481e-05,1.23970277411947e-05
"6","AUS",-0.00107857184745889,0.000159198438124354,0.00050532553790778
"7","BEL",-0.00124166604101879,8.6997221780638e-05,7.39948296854027e-06
"8","BEN",-0.0013845573404992,0.000199323477315825,0.000441544571460228
"9","BGD",-0.000799210366465584,8.07492738238969e-05,6.14252265453839e-05
"10","BGR",-0.000237730338085386,1.08533321635272e-05,5.91567227086826e-07
"11","BHR",-0.000781360422257762,7.51291008717462e-05,4.62867147183684e-05
"12","BHS",-0.00677226043154794,0.000953429112032001,0.00039115747302716
"13","BLZ",-0.00220419176857833,0.000230236493024222,7.42174220119669e-05
"14","BRA",-0.00128527732222783,8.05921765482943e-05,3.85913951641254e-06
"15","BRB",-0.00178999667643091,0.000117426215475221,5.0316261082879e-06
"16","BRN",0.000203204181880007,0.000230341057274705,0.411620154518558
"17","CAN",-0.0010877254602567,9.83862433356906e-05,3.259337902087e-05
"18","CHL",-0.00208491545147053,0.000129827989275712,3.7047271640468e-06
"19","CHN",-0.000818352628113389,5.5867983646632e-05,6.35603406986535e-06
"20","CIV",-0.00131307482180548,7.26505743298309e-05,1.84606548682272e-06
"21","CMR",-0.000808303885238155,4.3660092420938e-05,1.60167914658083e-06
"22","COG",-0.00250765198526384,0.000211097176197652,2.15327574952117e-05
"23","COL",-0.00112666585977796,7.18335233863337e-05,4.25614068631234e-06
"24","COM",-0.00475546696210162,0.000323163550758827,6.18742491085769e-06
"25","CPV",-0.00229138630937512,0.000173416486145018,1.16069853663995e-05
"26","CRI",-0.001241707946206,6.63740116260881e-05,1.50588755393852e-06
"27","CUB",0,0,NA
"28","CYP",-0.000337778585643742,3.56850558638741e-05,7.91540277912487e-05
"29","DEU",-0.00100041861188171,2.95520822111655e-05,4.42372606656861e-08
"30","DJI",-0.00960030925884143,0.000556940824635816,2.44146222221246e-06
"31","DNK",-0.00134984388129711,4.06984636033766e-05,4.99883770421668e-08
"32","DOM",-0.00232509567484632,0.000202566325248493,2.62581095167882e-05
"33","DZA",-0.00157165348157571,9.25416645075639e-05,2.66507180612609e-06
"34","ECU",-0.00121720392140476,5.90192084122076e-05,8.45497108372848e-07
"35","EGY",-0.000672640733830634,2.67460314189559e-05,2.60253049543824e-07
"36","ERI",0,0,NA
"37","ESP",-0.000604995950545508,4.53288651176607e-05,1.09460333338977e-05
"38","EST",-0.00055312253250191,0.00012034764290159,0.00370741729781914
"39","FIN",-0.000527802296086644,0.000160660687552784,0.016713687223774
"40","FJI",-0.00307275742109914,0.000462969041386153,0.000564462969378931
"41","FRA",-0.00044333400647,2.84403416842265e-05,4.41275860508004e-06
"42","GAB",-0.00508574453311023,0.00054913924281798,8.95619259102496e-05
"43","GBR",-0.000585574096378506,3.92283940761348e-05,5.69002669819601e-06
