"","Country.Territory","World_Country","Nutritional_D"
"1","ALBANIA","Albania",0.025626009
"2","ALGERIA","Algeria",0.043995049
"3","ANGOLA","Angola",0.179328211
"4","ANTIGUA AND BARBUDA","Antigua",0.231825846
"5","ARGENTINA","Argentina",0.023835104
"6","ARUBA","Aruba",NA
"7","AUSTRALIA","Australia",0.063784664
"8","BAHAMAS, THE","Bahamas",0.149561081
"9","BAHRAIN","Bahrain",NA
"10","BANGLADESH","Bangladesh",0.085787137
"11","BARBADOS","Barbados",0.256296107
"12","BELGIUM","Belgium",0.053502734
"13","BELIZE","Belize",0.139566461
"14","BENIN","Benin",0.250394708
"15","BRAZIL","Brazil",0.016883173
"16","BRUNEI DARUSSALAM","Brunei",0.149340067
"17","BULGARIA","Bulgaria",0.036373347
"18","CAMBODIA","Cambodia",0.19444269
"19","CAMEROON","Cameroon",0.407312124
"20","CANADA","Canada",0.078040634
"21","CAPE VERDE","Cape Verde",0.091096254
"22","CHILE","Chile",0.097144161
"23","CHINA","China",0.114759803
"24","COLOMBIA","Colombia",0.030481631
"25","COMOROS","Comoros",NA
"26","CONGO, DEM. REP.","Democratic Republic of the Congo",NA
"27","CONGO, REP.","Republic of Congo",0.173231859
"28","COSTA RICA","Costa Rica",0.045993387
"29","CÔTE D'IVOIRE","Ivory Coast",0.469417267
"30","CROATIA","Croatia",0.11615004
"31","CUBA","Cuba",0.026710917
"32","CYPRUS","Cyprus",0.091533616
"33","DENMARK","Denmark",0.129532742
"34","DJIBOUTI","Djibouti",0.039056095
"35","DOMINICA","Dominica",0.160656965
"36","DOMINICAN REPUBLIC","Dominican Republic",0.058151667
"37","ECUADOR","Ecuador",0.045104796
"38","EGYPT, ARAB REP.","Egypt",0.068080344
"39","EL SALVADOR","El Salvador",0.074121386
"40","EQUATORIAL GUINEA","Equatorial Guinea",NA
"41","ERITREA","Eritrea",NA
"42","ESTONIA","Estonia",0.037407233
"43","FIJI","Fiji",0.371923214
"44","FINLAND","Finland",0.093561647
"45","FRANCE","France",0.067849445
"46","GABON","Gabon",0.214625689
"47","GAMBIA, THE","Gambia",0.392922439
"48","GEORGIA","Georgia",0.083114202
"49","GERMANY","Germany",0.020773531
"50","GHANA","Ghana",0.614381039
"51","GREECE","Greece",0.056875879
"52","GRENADA","Grenada",0.216705034
"53","GUATEMALA","Guatemala",0.015195079
"54","GUINEA","Guinea",0.267393815
"55","GUINEA-BISSAU","Guinea-Bissau",0.022212144
"56","GUYANA","Guyana",0.275721734
"57","HAITI","Haiti",0.151824939
"58","HONDURAS","Honduras",0.017037822
"59","HONG KONG SAR, CHINA","China",0.193679216
"60","ICELAND","Iceland",0.27677655
"61","INDIA","India",0.034285083
"62","INDONESIA","Indonesia",0.437946129
"63","IRAN, ISLAMIC REP.","Iran",0.054606839
"64","IRELAND","Ireland",0.05410903
"65","ISRAEL","Israel",0.026871852
"66","ITALY","Italy",0.095110581
"67","JAMAICA","Jamaica",0.217372742
"68","JAPAN","Japan",0.375480938
"69","JORDAN","Jordan",0.067419384
"70","KENYA","Kenya",1.01e-10
"71","KIRIBATI","Kiribati",0.717148033
"72","KOREA, DEM. REP.","North Korea",0.24212471
"73","KOREA, REP.","South Korea",0.365534397
"74","KUWAIT","Kuwait",0.065708852
"75","LATVIA","Latvia",0.135536639
"76","LEBANON","Lebanon",0.090730238
"77","LIBERIA","Liberia",0.082885834
"78","LIBYA","Libya",NA
"79","LITHUANIA","Lithuania",0.203603049
"80","MACAO SAR, CHINA","China",0.261727312
"81","MADAGASCAR","Madagascar",0.113369091
"82","MALAYSIA","Malaysia",0.438444541
"83","MALDIVES","Maldives",1.000000005
"84","MALTA","Malta",0.122296274
"85","MAURITANIA","Mauritania",0.052650336
"86","MAURITIUS","Mauritius",0.172177089
"87","MEXICO","Mexico",0.076215315
"88","MICRONESIA, FED. STS.","Micronesia",0.717148033
"89","MONTENEGRO","Montenegro",0.034625865
"90","MOROCCO","Morocco",0.207063013
"91","MOZAMBIQUE","Mozambique",0.332492662
"92","MYANMAR","Myanmar",0.264876144
"93","NAMIBIA","Namibia",0.168807564
"94","NETHERLANDS","Netherlands",0.061241731
"95","NEW ZEALAND","New Zealand",0.080027509
"96","NICARAGUA","Nicaragua",0.075359133
