"","countrycode","FractionChange_perC","FractionChange_perC_se","FractionChange_perC_sq","FractionChange_perC_sq_se","cov_t_t2","r_sq","MangroveArea_2020_km2"
"1","AGO",-0.00630434164607896,0.000268622282179312,3.96114011469685e-05,0.00013457929403314,-3.49033342147643e-08,0.990872137610241,517.138971296459
"2","ARE",-0.00671918652629575,0.00014073332999461,-0.000668112939477277,7.05071524370593e-05,-9.58024851012546e-09,0.998475332811776,54.2934092177073
"3","ASM",-0.00291728478329678,7.76570677999777e-05,-0.000876163186970651,3.89060552848268e-05,-2.91705638216737e-09,0.998607814489613,0.318723804446875
"4","AUS",-0.00551270024687813,0.000117045209965603,-0.00164175232209863,5.86394456905726e-05,-6.62659055189555e-09,0.999108313493806,7866.7586635151
"5","BEN",-0.0115578890995238,0.000491173038529174,-0.000510782488672604,0.000246076834122211,-1.1669490259704e-07,0.99246626010647,5.96420972395735
"6","BGD",-0.00848891919694291,0.000344018279313914,-0.00236225733800343,0.000172352556865171,-5.72460974397692e-08,0.99659609673945,2285.3171616048
"7","BHS",-0.00291739158517378,5.82320681795765e-05,-0.000521354412191656,2.91741644144985e-05,-1.6402395387759e-09,0.998914787116855,1080.52999476673
"8","BLZ",-0.00344299633897278,7.84955883095881e-05,-0.00109693540152854,3.93261525950727e-05,-2.98039169387751e-09,0.999023175344183,279.55705957954
"9","BRA",-0.00227324690698359,4.39515212239775e-05,-0.00130185680937417,2.20196353408131e-05,-9.34395351649764e-10,0.999590087096017,10653.1633725903
"10","BRN",-0.00414741230000841,6.56791510712235e-05,-0.000734052514881916,3.29051399316192e-05,-2.08659377930244e-09,0.999313214034972,12.6070518721052
"11","CHN",-0.00540137668586247,0.000147852221018556,-0.000463288616340479,7.4073704401881e-05,-1.05739816529447e-08,0.997279009804107,237.145452002078
"12","CIV",-0.00403289154375592,0.000111348498278773,-0.0016831371501305,5.57854030888048e-05,-5.99724202079955e-09,0.998858275326672,44.3509514495951
"13","CMR",-0.00103686949566597,0.000162508853007895,0.000479401736653429,8.14166514203718e-05,-1.27742936986513e-08,0.364108566135259,643.633254457373
"14","COG",-0.00313309348526271,6.89051672881777e-05,-0.00137481936582879,3.45213684197956e-05,-2.29660565428685e-09,0.999307929228501,21.8832881246074
"15","COL",-0.00231953614990371,6.1068545190536e-05,-0.000816682262244987,3.05952344410771e-05,-1.80392299678571e-09,0.998797476020105,2129.54748027366
"16","COM",-0.00661605689478049,0.000236860100347402,0.00169721117909171,0.000118666496430455,-2.71373018104565e-08,0.977316544717724,0.969497924210445
"17","CRI",-0.00259826063320173,0.000161058563755975,-0.000590018635038227,8.06900590391151e-05,-1.25473060338366e-08,0.990938203095338,239.714774451725
"18","CUB",-0.00540418926357193,9.46262240213504e-05,-0.000647074268245137,4.74075729031082e-05,-4.33117635421867e-09,0.999001261478672,2321.87267072626
"19","CUW",-0.00141826303118619,5.17202569168888e-05,-0.000611889107500694,2.59117583493733e-05,-1.29391037126222e-09,0.998069399984806,4.80397589049495
"20","CYM",-0.0036731888707817,6.48578422609436e-05,-0.000574631800956996,3.24936656526655e-05,-2.03473492309675e-09,0.999092915518002,1.11890959569281
"21","DJI",-0.00849644058810347,0.000161925553403655,-0.00176993005389264,8.11244193377924e-05,-1.2682755695623e-08,0.999090522297497,7.11144856350325
"22","DOM",-0.00447109793996996,9.44967831856509e-05,-0.000627630620216413,4.73427232705827e-05,-4.31933507778175e-09,0.998636079031063,127.699048805043
"23","ECU",0.00226990276387824,0.000195044181735218,-0.00160758356554957,9.77167942668106e-05,-1.84013144197206e-08,0.880209566264389,1327.01769406524
"24","EGY",-0.0110073035467756,0.000237728152093819,-0.00229183252808367,0.000119101388838744,-2.7336573427896e-08,0.998831984813791,1.2235680137171
"25","ERI",-0.0150011739676771,0.000363923642268422,-0.00301504422613607,0.000182325108926593,-6.40624269732451e-08,0.998496608781815,60.044336599036
"26","FJI",-0.00234077645218931,9.08216841032917e-05,4.44867717546107e-05,4.55015050514791e-05,-3.98989942464749e-09,0.992032554125966,487.277301940309
"27","FSM",-0.00283246303409317,0.000105636407243902,-0.00103555226454731,5.2923655460539e-05,-5.39771675473785e-09,0.997664056936531,69.2721781234851
"28","GAB",-0.00281825151332256,6.87236340539208e-05,0.000880541752664741,3.4430420586609e-05,-2.28452060795974e-09,0.984307158654892,1652.62042350352
"29","GHA",-0.00731378512460873,0.000241880374787815,-0.000521390080152353,0.000121181645153644,-2.82998486302368e-08,0.995835138139011,144.820049368865
"30","GIN",-0.0108463797864641,0.00018506304676415,0.000551140308678667,9.2716263085413e-05,-1.65661756771008e-08,0.99823309552386,1335.74882186978
