"","countrycode","GDPDam_perC","GDPDam_perC_se","GDPDam_perC_sq","GDPDam_perC_sq_se"
"1","ABW",NA,NA,NA,NA
"2","AGO",0,0,0,0
"3","AIA",NA,NA,NA,NA
"4","ARE",0,0,0,0
"5","ASM",-6.44426347724485e-11,7.35032032836807e-14,6.84752374649948e-12,3.68249764198226e-14
"6","AUS",-1.24455627447279e-05,2.00062634599638e-07,-2.9502641901245e-06,1.0023103038361e-07
"7","BEN",-3.54107164233419e-05,3.42487408009817e-07,7.2590534783882e-06,1.71585593016568e-07
"8","BGD",-0.00018002660878029,6.15276574838351e-07,2.54701940359474e-05,3.08252488978558e-07
"9","BHS",-3.14736349705155e-05,4.15246559184439e-07,-2.92119486000881e-06,2.08037800629764e-07
"10","BLZ",-0.000299672012254025,4.39933357339885e-06,-2.55767134142857e-05,2.204058433727e-06
"11","BMU",NA,NA,NA,NA
"12","BRA",-1.26124149561555e-05,1.13173950836539e-07,-1.71289165056382e-06,5.66999516308022e-08
"13","BRB",NA,NA,NA,NA
"14","BRN",-3.47955498445409e-05,6.08574296239107e-07,5.80339149007767e-06,3.04894659110604e-07
"15","CHN",-2.99644724198319e-07,2.00217714688981e-09,-5.52737093915293e-08,1.00308725237414e-09
"16","CIV",-7.82155105685504e-06,1.59450092537525e-08,9.40274012244462e-07,7.98842177690036e-09
"17","CMR",-1.86996728522981e-05,3.93856831324626e-07,8.52492412185087e-06,1.97321584344278e-07
"18","COG",-2.51736608302052e-06,4.76415867096297e-08,-2.19016840812577e-07,2.3868351701817e-08
"19","COK",NA,NA,NA,NA
"20","COL",-8.83159214259232e-06,1.48634051031807e-07,-1.1572693162255e-06,7.44653998725009e-08
"21","COM",-7.81933872198465e-06,1.58019443689882e-07,2.69504938374908e-06,7.91674651959739e-08
"22","CRI",-2.32174003301426e-05,1.49245507481364e-07,1.14573461224149e-06,7.47717384853878e-08
"23","CUB",-8.03742716245296e-05,3.18560171046563e-07,-2.95639153467841e-05,1.5959808910381e-07
"24","CUW",-7.58649693323835e-09,4.23651783052436e-11,3.28070430612128e-10,2.12248803101966e-11
"25","CYM",-1.14366283916637e-09,1.13966427936331e-11,9.18195328848188e-11,5.70969812731762e-12
"26","DJI",-0.000103835832628104,3.74946525262005e-07,1.69119145865123e-05,1.87847554047121e-07
"27","DOM",-1.257535107155e-05,9.5094552920321e-08,-7.49365249586949e-07,4.7642204863225e-08
"28","ECU",4.87993004548811e-05,3.687418811801e-07,-3.40004986214063e-05,1.84739038202884e-07
"29","EGY",-3.61354550593724e-08,3.82708870036007e-10,-3.03607558909843e-09,1.91736475216474e-10
"30","ERI",-7.09986329100941e-05,9.28916191591079e-07,7.78428069714031e-06,4.65385388978382e-07
"31","FJI",-0.000437461969966177,3.57949773599029e-06,5.91370250142007e-05,1.79332211160811e-06
"32","FSM",0,0,0,0
"33","GAB",-0.000298404063957142,3.25894738616034e-06,0.000104904412369187,1.63272694641108e-06
"34","GHA",-5.5294159626434e-05,4.10857644053823e-07,9.56980776082769e-06,2.05838961817669e-07
"35","GIN",-0.00190706245873499,3.78364887962282e-06,0.000438988494362287,1.89560147787373e-06
"36","GNB",-0.00420332340165685,1.77287684280513e-05,0.000740514421992528,8.88208200662777e-06
"37","GNQ",-1.37780788538912e-06,9.4981687210265e-09,2.52707504882655e-07,4.75856593396867e-09
"38","GRD",-1.29174273311265e-07,1.94413876241428e-09,3.63050834326669e-08,9.74010123156961e-10
"39","GTM",-9.70255919063635e-05,6.98447450838643e-07,1.1664582776822e-05,3.49920952537978e-07
"40","GUF",-1.64610256618492e-07,9.64086295507539e-10,6.92386970051411e-09,4.83005549591082e-10
"41","GUM",-1.63050593351938e-10,7.49687728587353e-13,1.02884155198426e-11,3.75592242162717e-13
