"","iso_a3","GDP_FractionChange_perC","GDP_FractionChange_perC_se"
"1","ZWE",NA,NA
"2","ZMB",NA,NA
"3","YEM",0,0
"4","VNM",-0.00227875405195142,0.000183106458777162
"5","VEN",0,0
"6","VAT",NA,NA
"7","VUT",0.00503830542478119,0.000507076063839274
"8","UZB",NA,NA
"9","URY",-0.00335152719042357,0.000585099916303372
"10","FSM",NA,NA
"11","MHL",NA,NA
"12","MNP",NA,NA
"13","VIR",NA,NA
"14","GUM",NA,NA
"15","ASM",NA,NA
"16","PRI",NA,NA
"17","USA",-0.000737337438442888,2.74123765465359e-05
"18","SGS",NA,NA
"19","IOT",NA,NA
"20","SHN",NA,NA
"21","PCN",NA,NA
"22","AIA",NA,NA
"23","FLK",NA,NA
"24","CYM",NA,NA
"25","BMU",NA,NA
"26","VGB",NA,NA
"27","TCA",NA,NA
"28","MSR",NA,NA
"29","JEY",NA,NA
"30","GGY",NA,NA
"31","IMN",NA,NA
"32","GBR",-0.000585574096378506,3.92283940761348e-05
"33","ARE",-0.00297437084793528,0.000260518366265506
"34","UKR",-0.000212799200766173,1.65559582781947e-05
"35","UGA",NA,NA
"36","TKM",NA,NA
"37","TUR",-0.000607262645145864,2.80597848955227e-05
"38","TUN",-0.00123353053727998,7.25006834531923e-05
"39","TTO",-0.0130569469916069,0.00127191633120455
"40","TON",0.000581064271050496,0.000400952532951763
"41","TGO",-0.00512710446251255,0.000752527838757597
"42","TLS",NA,NA
"43","THA",-0.00212409661402694,0.000121662264581115
"44","TZA",-0.00108828969168381,0.000101222234249355
"45","TJK",NA,NA
"46","TWN",NA,NA
"47","SYR",0,0
"48","CHE",NA,NA
"49","SWE",-0.000504610019760884,5.73598954581523e-05
"50","SWZ",NA,NA
"51","SUR",-0.00607518129009545,0.000285884397229023
"52","SSD",NA,NA
"53","SDN",-4.56808366156912e-05,2.74557563529987e-05
"54","LKA",-0.00146198232874803,9.46484473662043e-05
"55","ESP",-0.000604995950545508,4.53288651176607e-05
"56","KOR",-0.00331512901630467,0.000190012858920122
"57","ZAF",-0.00196742769887283,0.000159450629125139
"58","SOM",-0.00253700174836064,0.000190802706117459
"59","-99",NA,NA
"60","SLB",-1.76802619148664e-05,0.000355776157132363
