"","iso_a3","GDP_FractionChange_perC","GDP_FractionChange_perC_se"
"1","ZWE",NA,NA
"2","ZMB",NA,NA
"3","YEM",-1.68097458703732e-05,1.41981957735299e-06
"4","VNM",-3.1853182485013e-05,3.85362558751245e-06
"5","VEN",-9.48410743028465e-06,9.82046901849363e-07
"6","VAT",NA,NA
"7","VUT",-6.45398228987924e-05,4.1535558325408e-05
"8","UZB",NA,NA
"9","URY",-8.28710865162067e-05,9.94684795472163e-06
"10","FSM",NA,NA
"11","MHL",NA,NA
"12","MNP",NA,NA
"13","VIR",NA,NA
"14","GUM",NA,NA
"15","ASM",NA,NA
"16","PRI",NA,NA
"17","USA",-1.21504070117974e-05,1.5289882078381e-06
"18","SGS",NA,NA
"19","IOT",NA,NA
"20","SHN",NA,NA
"21","PCN",NA,NA
"22","AIA",NA,NA
"23","FLK",NA,NA
"24","CYM",NA,NA
"25","BMU",NA,NA
"26","VGB",NA,NA
"27","TCA",NA,NA
"28","MSR",NA,NA
"29","JEY",NA,NA
"30","GGY",NA,NA
"31","IMN",NA,NA
"32","GBR",3.09918245135848e-07,9.20482207631361e-07
"33","ARE",-8.21982328511027e-06,3.41465356799925e-06
"34","UKR",5.87260800889825e-07,1.23414924623022e-06
"35","UGA",NA,NA
"36","TKM",0,0
"37","TUR",-3.72902771761266e-06,2.48549903257931e-07
"38","TUN",-8.53396973326319e-05,4.57458906871508e-06
"39","TTO",-8.41367958413038e-05,1.08114450351079e-05
"40","TON",-0.000867136123419927,0.000364149097651288
"41","TGO",-6.69807861440974e-05,3.73914044883992e-05
"42","TLS",-0.000122732595203825,2.35135433266179e-05
"43","THA",-4.13025165322063e-05,3.23676584649261e-06
"44","TZA",2.58297625150639e-07,4.07355762826213e-07
"45","TJK",NA,NA
"46","TWN",-8.34833493102073e-05,6.49818321962571e-06
"47","SYR",-1.72744267340852e-06,1.6137941991613e-07
"48","CHE",NA,NA
"49","SWE",7.66610300705364e-06,1.479307119e-06
"50","SWZ",NA,NA
"51","SUR",-0.000168808178056749,2.56608305109804e-05
"52","SSD",NA,NA
"53","SDN",-1.26194831578878e-05,1.44377081403418e-06
"54","LKA",-1.70691689527352e-05,1.96461655240062e-06
